Number of available PCIs (1 to 100),eNB: 10 (gNB: 60),eNB: 20 (gNB: 120),eNB: 30 (gNB: 180),eNB: 40 (gNB: 240),eNB: 50 (gNB: 300),eNB: 60 (gNB: 360),eNB: 70 (gNB: 420),eNB: 80 (gNB: 480),eNB: 90 (gNB: 540),eNB: 100 (gNB: 600)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,10.91,59.83,78.02,80.58,89.01,94.62,96.04,97.61,99.46,99.28
4,10.99,56.58,77.39,78.61,88.59,92.29,96.9,98.52,98.54,100
5,15.5,63.84,77.02,86.78,91.24,94.69,96.83,98.92,99.75,99.58
6,12.7,59.15,75.06,81.34,92.98,95.48,96.51,96.72,99.21,100
7,11.64,52.02,76.77,86.46,91.43,93.43,97.4,99.77,99.88,100
8,11.44,56.33,76.03,88.67,92.15,96.81,98.25,99.03,99.68,100
9,12.03,61.83,79.16,82.43,94.41,97.34,95.88,98.25,99.46,99.5
10,11.19,56.73,79.01,83.31,93.61,96.19,97.69,98.13,99.88,99.01
11,11.42,63.57,76.42,81.17,91.81,94.78,95.81,99.02,99.32,99.82
12,12.03,59.21,79.79,86.74,90.15,98.23,95.22,98.24,99.62,99.61
13,11.96,47.76,73.86,79.56,89.75,98.22,96.04,98.69,98.48,99.88
14,11.93,56.86,78.46,81.42,91.06,96.48,96.85,97.57,99.57,98.66
15,12.29,62.84,78.49,81.31,91.84,97.52,94.14,98.92,99.49,98.91
16,12,60.24,80.34,80.9,88.58,94.66,97.73,98.19,100,99.11
17,11.71,56.97,78.1,83.49,93.63,96.07,96.52,98.43,99.8,99.04
18,10.96,53.73,78.25,82.52,90.53,95.49,94.12,97.37,98.88,99.74
19,10.66,56.3,76.59,85.36,96.36,96.76,98.7,97.03,98.22,99.35
20,13.06,50.12,79.78,81.52,89.61,96.18,97.96,99.02,99.01,100
21,11.66,62.68,79.13,85.8,89.52,95.71,96.71,95.97,98.07,99.98
22,10.17,60.19,69.95,80.11,88.38,97.42,98.88,99.27,99.77,99.96
23,11.08,58.6,76.2,85.01,92.92,97.16,96.19,99.37,100,99.73
