Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100
5,100,100,100,100,100,100,100,100,100,100
6,100,100,100,100,100,100,100,100,100,100
7,100,100,100,100,100,100,100,100,100,100
8,99.35,100,100,100,100,100,100,100,100,100
9,61.84,100,100,100,100,100,100,100,100,100
10,32.23,86.54,100,98.98,100,100,100,100,100,100
11,23.49,56.38,82.68,90.65,88.87,99.35,97.46,100,99.37,100
12,17.42,45.32,65.55,73.13,65.18,91.17,93.09,97.36,99.14,99.32
13,13.23,38.12,55.71,63.92,54.59,78.4,84.35,96.86,92.36,99.24
14,15.3,30.78,42.45,53.26,53.38,79.45,78.98,90.84,87.13,97.49
15,6.15,30.78,43.16,47.66,46.99,82.39,73.14,87.87,77.04,92.36
16,10.24,34.73,41.43,50.85,33.9,67.61,73.49,78.96,77.38,90.45
17,8.96,22.91,30.49,45.72,32.61,59.19,66.66,84.55,68.45,88.42
18,4.49,23.37,26.38,38.16,33.61,66.91,65.92,71.75,69,89.21
19,4.68,21.18,27.33,38.18,27.38,56.48,63.05,65.82,63.17,77.06
20,4.96,20.01,21.49,33.14,30.72,52.74,52.91,65.75,64.25,70.48
21,5.93,12.09,28,34.25,34.18,51.3,53.45,57.03,62.71,73.18
22,3.05,18.54,25.76,23.54,23.77,46.38,47.38,57.64,55.22,71.12
23,5.86,13.74,23.45,21.14,24.32,41.45,39.91,58.6,51.28,67.08
24,4.65,9.72,22.6,17.22,20.67,36.76,45.08,58.5,61.51,67.28
25,3.59,11.4,19.43,22,22.92,42.04,43.3,59.43,54.75,56.67
26,4.4,13.09,15.69,24.44,21.69,38.17,31.63,46.1,43.47,62.3
