Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,98.36,99.41,100,100,100,100,100,100,100,100
4,15.31,28.94,35.45,42.89,50.2,54.84,61.82,65.54,71.7,78.18
5,15.38,29.09,36.25,45.53,53.55,55.49,64.32,64.77,72.73,77.51
6,16.98,30.08,39.96,45.5,51.72,58.33,63.39,66.36,73.7,76.63
7,15.69,28.65,37.71,46.03,50.56,55.64,65.99,66.44,73.72,75.75
8,14.49,27.3,38.28,44.07,50.54,54.36,62.6,64.53,71.78,76.43
9,15.79,27.19,36.69,45.05,51.74,54.1,62.88,65.96,74.44,74.84
10,15.83,27.24,37.81,40.74,51.29,54.01,63.47,67.35,71.68,75.26
11,15.34,27.77,36.41,44.06,50.85,59.68,62.8,66.84,72.72,76.24
12,15.31,26.43,36.34,42.92,50.54,56.35,62.49,65.5,73.94,72.72
13,14.73,26.86,35.31,44.5,50.81,54.84,64.48,64.69,75.98,75.63
14,16.02,27.24,35.94,45.45,51.39,55.28,63.98,64.98,73.88,76.98
15,15.19,28.22,37.06,45,51.41,56.56,62.96,67.29,71.51,75.56
16,14.52,28.44,36.56,44.15,50.02,55.4,62.71,64.27,68.95,77.25
17,15.71,27.61,34.52,44.12,49.21,55.01,63.42,65.31,73.77,73.43
18,15.17,28.93,36.45,45.19,51.45,56.47,62.01,66.4,72.32,74.44
19,15.23,26.38,35.69,45.1,50.42,56.41,64.72,64.17,73.52,73.63
20,16.55,27.53,36.9,44.5,52.65,53.64,62.76,64.11,73.38,73.66
21,16.12,27.72,36.6,44.62,51.14,54.55,63.36,65.17,77.08,74.06
22,14.84,27.45,37.73,45.05,52.13,56.04,61.61,65.69,72.04,77.01
23,15.14,27.27,38.01,44.42,52.39,54.47,60.08,64.8,72.09,76.32
