Number of available PCIs (1 to 100),eNB: 10 (gNB: 60),eNB: 20 (gNB: 120),eNB: 30 (gNB: 180),eNB: 40 (gNB: 240),eNB: 50 (gNB: 300),eNB: 60 (gNB: 360),eNB: 70 (gNB: 420),eNB: 80 (gNB: 480),eNB: 90 (gNB: 540),eNB: 100 (gNB: 600)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100
5,100,100,100,100,100,100,100,100,100,100
6,100,100,100,100,100,100,100,100,100,100
7,21.66,100,100,100,100,100,100,100,100,100
8,7.53,83.05,99.35,100,100,100,100,100,100,100
9,4.04,28.25,84.79,99.23,100,100,100,100,100,100
10,3.2,13.11,38.9,79.78,94.56,99.24,99.41,100,100,100
11,2.38,7.52,17.16,38.99,52.99,78.72,88.07,97.47,97.41,99.85
12,2.01,4.93,10.84,18.56,26.43,39.57,47.2,61.37,69.38,74.66
13,1.82,4.25,7.24,11.19,14.29,18.39,22.49,25.47,28.1,36.55
14,1.65,3.77,5.76,7.74,9.93,12.03,13.53,16.42,18.47,21.89
15,1.55,2.79,4.57,7.21,7.79,8.9,10.31,12.18,13.32,15
16,1.41,2.78,4.01,5.03,6.21,7.59,8.57,9.93,10.03,10.69
17,1.51,2.33,3.59,4.59,5.4,6.7,6.91,8,8.55,8.56
18,1.23,2.26,3.27,4.34,5.12,6.1,6.32,6.4,7.01,7.21
19,1.06,2.17,2.79,3.91,4.18,5.08,5.43,5.3,6.21,6.73
20,1.23,1.89,2.87,3.22,4.05,4.5,4.57,5.06,5.42,5.67
21,1.1,1.73,2.43,2.99,3.58,3.95,4.54,4.36,5.01,5.15
22,0.99,1.83,2.34,3.11,3.21,3.72,3.82,4.4,4.58,4.48
23,1.06,1.73,2.31,2.97,3.41,3.31,3.75,3.99,4.01,4.27
24,0.98,1.52,2.05,2.51,2.9,3.23,3.57,4.02,4.19,4.1
25,1,1.39,2.29,2.51,2.57,2.99,3.32,3.2,3.83,4.13
26,1,1.45,1.94,2.28,2.67,2.74,3.07,3.25,4.06,3.7
