Number of available PCIs (1 to 100),eNB: 10 (gNB: 60),eNB: 20 (gNB: 120),eNB: 30 (gNB: 180),eNB: 40 (gNB: 240),eNB: 50 (gNB: 300),eNB: 60 (gNB: 360),eNB: 70 (gNB: 420),eNB: 80 (gNB: 480),eNB: 90 (gNB: 540),eNB: 100 (gNB: 600)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,10.57,66.37,82.13,81.2,91.29,95.87,95.8,98.71,100,99.43
4,4.63,10.57,18.81,25.42,30.64,45.7,51.26,56.31,60.68,69.75
5,2.69,5.14,7.01,9.06,11.28,11.29,12.91,14.01,14.5,15.07
6,2.11,3.68,5,5.98,6.3,7.53,7.58,8.04,8.99,9.46
7,2.27,4.03,4.91,6.44,6.8,7.05,8.34,8.58,8.78,9.85
8,2.51,3.94,5.47,6.07,7.03,7.73,8.06,8.5,8.96,9.24
9,2.29,4.21,5.03,6.41,6.67,7.63,8.56,9.02,9.28,9.78
10,2.4,3.92,5.33,6.09,7.09,7.93,7.96,8.72,9.54,9.65
11,2.31,4.13,5.18,5.79,6.65,7.1,8.01,7.93,8.55,9.11
12,2.27,3.86,4.69,5.97,6.34,7.03,7.33,8.3,8.67,8.98
13,2.28,3.71,4.93,6.05,6.13,7.18,7.76,8.22,8.98,8.77
14,2.42,3.88,5.48,6.01,7.06,7.41,7.95,8.51,8.04,9.36
15,2.26,3.89,5.1,6.21,6.79,7.56,7.89,9.19,8.56,9.33
16,2.24,3.72,5.11,6.32,6.67,7.53,7.98,8.5,8.76,8.81
17,2.36,3.97,4.7,6.08,6.67,7.3,7.64,8.47,8.36,8.85
18,2.16,3.78,4.75,5.79,6.01,7.35,7.34,8.2,8.63,8.93
19,2.27,3.73,5.09,5.87,6.6,7.09,8.05,8.1,8.75,9.6
20,2.1,3.77,5.11,5.89,7.12,7.48,7.66,7.99,8.64,9.35
21,2.13,3.78,5.08,6.05,6.08,7.57,8.09,8.42,8.42,9.31
22,2.28,3.67,5.03,6.11,7.09,7.36,7.63,8.2,8.59,8.96
