Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,97.08,100,100,100,100,100,100,100,100,100
4,96.42,99.62,100,100,100,100,100,100,100,100
5,94.75,99.9,100,100,100,100,100,100,100,100
6,98.17,99.33,100,100,100,100,100,100,100,100
7,96.91,100,100,100,100,100,100,100,100,100
8,95.16,99.41,100,100,100,100,100,100,100,100
9,99.03,99.87,100,100,100,100,100,100,100,100
10,97.22,100,100,100,100,100,100,100,100,100
11,97.54,99.93,100,100,100,100,100,100,100,100
12,99.69,100,100,100,100,100,100,100,100,100
13,96.44,100,100,100,100,100,100,100,100,100
14,99.58,100,100,100,100,100,100,100,100,100
15,98.63,100,100,100,100,100,100,100,100,100
16,97.59,99.16,100,100,100,100,100,100,100,100
17,94.64,100,100,100,100,100,100,100,100,100
18,97.58,99.55,100,100,100,100,100,100,100,100
19,96.43,100,100,99.92,100,100,100,100,100,100
20,93.19,99.89,100,100,100,100,100,100,100,100
21,97.76,100,100,100,100,100,100,100,100,100
22,98.5,99.61,100,100,100,100,100,100,100,100
23,97.39,99.77,100,100,100,100,100,100,100,100
24,97.05,100,100,100,100,100,100,100,100,100
25,96.29,100,100,100,100,100,100,100,100,100
26,98.97,99.52,100,100,100,100,100,100,100,100
27,96.78,99.54,100,100,100,100,100,100,100,100
28,97.39,100,100,100,100,100,100,100,100,100
29,99.12,100,100,100,100,100,100,100,100,100
30,97.65,100,100,100,100,100,100,100,100,100
31,93.69,100,100,100,100,100,100,100,100,100
32,97.21,100,100,100,100,100,100,100,100,100
33,98.19,99.85,100,100,100,100,100,100,100,100
34,93.24,99.45,100,100,100,100,100,100,100,100
35,95.64,100,100,100,100,100,100,100,100,100
36,94.87,100,100,100,100,100,100,100,100,100
37,96.76,100,100,100,100,100,100,100,100,100
38,98.17,100,100,100,100,100,100,100,100,100
39,95.88,99.68,100,100,100,100,100,100,100,100
40,97.92,99.78,100,100,100,100,100,100,100,100
41,98.55,99.96,100,100,100,100,100,100,100,100
42,95.39,99.4,100,100,100,100,100,100,100,100
43,97.3,100,100,100,100,100,100,100,100,100
44,97.45,100,100,100,100,100,100,100,100,100
45,95.55,99.28,100,100,100,100,100,100,100,100
46,97.97,99.62,100,100,100,100,100,100,100,100
47,98.67,99.64,100,100,100,100,100,100,100,100
48,98.89,100,100,100,100,100,100,100,100,100
49,97.07,99.03,100,100,100,100,100,100,100,100
50,97.45,99.85,100,100,100,100,100,100,100,100
51,95.43,100,100,100,100,100,100,100,100,100
52,96.82,100,100,100,100,100,100,100,100,100
53,97.97,99.83,99.77,100,100,100,100,100,100,100
54,97.55,99.43,100,100,100,100,100,100,100,100
55,99.45,100,100,100,100,100,100,100,100,100
56,98.51,99.4,100,100,100,100,100,100,100,100
57,97.72,99.44,99.94,100,100,100,100,100,100,100
58,97.92,100,100,100,100,100,100,100,100,100
59,96.46,100,100,100,100,100,100,100,100,100
60,96.13,100,100,100,100,100,100,100,100,100
61,98.91,99.57,100,100,100,100,100,100,100,100
62,96.16,100,100,100,100,100,100,100,100,100
63,97.44,99.52,100,100,100,100,100,100,100,100
64,96.35,100,100,100,100,100,100,100,100,100
65,96.68,100,100,100,100,100,100,100,100,100
66,97.9,100,100,100,100,100,100,100,100,100
67,97.72,100,100,100,100,100,100,100,100,100
68,96.74,100,100,100,100,100,100,100,100,100
69,95.4,100,100,100,100,100,100,100,100,100
70,97.25,98.95,100,100,100,100,100,100,100,100
71,94.9,100,100,100,100,100,100,100,100,100
72,97.21,100,100,100,100,100,100,100,100,100
73,96.77,100,100,100,100,100,100,100,100,100
74,99.27,99.28,100,100,100,100,100,100,100,100
75,94.04,99.62,100,100,100,100,100,100,100,100
76,96.28,99.18,100,100,100,100,100,100,100,100
77,95.35,100,100,100,100,100,100,100,100,100
78,96.14,99.88,100,100,100,100,100,100,100,100
79,93.21,99.71,100,100,100,100,100,100,100,100
80,96.17,99.77,100,100,100,100,100,100,100,100
81,95.71,100,100,100,100,100,100,100,100,100
82,94.46,99.39,100,100,100,100,100,100,100,100
83,97.34,99.18,100,100,100,100,100,100,100,100
84,96.57,99.36,100,100,100,100,100,100,100,100
85,96.02,100,100,100,100,100,100,100,100,100
86,97.13,100,100,100,100,100,100,100,100,100
87,95.86,100,100,100,100,100,100,100,100,100
88,97.97,99.57,100,100,100,100,100,100,100,100
89,98.48,99.33,100,100,100,100,100,100,100,100
90,99.43,100,100,100,100,100,100,100,100,100
91,98.06,100,100,100,100,100,100,100,100,100
92,96.96,99.72,100,100,100,100,100,100,100,100
93,97.58,99.12,100,100,100,100,100,100,100,100
94,95.27,99.89,100,100,100,100,100,100,100,100
95,97.78,99.41,100,100,100,100,100,100,100,100
96,98.4,100,100,100,100,100,100,100,100,100
97,96.13,100,100,100,100,100,100,100,100,100
98,98.4,100,100,100,100,100,100,100,100,100
99,97.98,100,100,100,100,100,100,100,100,100
100,97.74,100,100,100,100,100,100,100,100,100
