前导码数,h2h_high N=30,h2h_mediu N=30,h2h_low N=30,m2m_high N=30,m2m_medium N=30,m2m_low N=30,用户数=30
10,0.5,0.452952528,0.325,0.428571429,0.394026534,0.2632,
14,0.6,0.5,0.406064321,0.55,0.433333333,0.350925,
20,0.675,0.6,0.45,0.65,0.55,0.414,
24,0.733707625,0.626325766,0.502462689,0.653228598,0.563233161,0.423719696,
30,0.75,0.666666667,0.526,0.696666667,0.585714286,0.454,
34,0.8,0.687067364,0.55,0.75,0.631597143,0.486153846,
40,0.8051,0.715687,0.5860586,0.766666667,0.65,0.5045694,
44,0.9,0.7538,0.610666667,0.8,0.697,0.55,
50,0.921,0.76580759,0.623429767,0.85,0.7135,0.56,
54,0.943,0.798078321,0.6347528,0.8596,0.732325808,0.589607,
