Number of  User,h2h_high,h2h_medium,h2h_low,m2m_high,m2m_medium,m2m_low,P=20
5,3.355,3.481,4.34,2.192,2.43,3.0394,
10,3.804,4.636,5.698,2.91614,3.5963,3.87,
15,5.157,5.8,6.78,3.37124,4.035,4.27,
20,5.87,6.9,7.898,4.0325,4.836,5.2968,
25,6.76,7.822,8.8331,4.395128,4.96131,5.712,
30,7.55,8.39586,9.478,4.8232,5.8208,6.59,
35,7.89,9.2579,9.861,5.2,6.23783,7.1,
40,8.867,9.9745,10.8292,5.6102,6.5198,7.496,
45,9.701,11.26265,10.9752,6.31108,7.386,8.8261,
50,10.229,10.9454,11.939213,6.7509,7.98167,9.411,
55,10.75,11.937,12.95,7.688,9.312,9.92441,
60,11.95296,12.98167,13.87,8.2832,9.4925,10.3112,
65,12.36,13.262,13.982,9.38246,10.682,11.38171,
70,12.91,13.62,14.959,9.5814,10.9281,12.2381,
75,13.31,14.3538,14.967,10.9526,11.59499,12.59186,
80,13.561,14.6036,15.945,11.19766,12.149,12.697,
85,13.832,14.8222,16.02792,11.818,12.628,13.28,
90,14.377,15.249252,15.939167,11.9,12.52832,13.5296,
95,14.53,15.39584,16.2635,12.2981,13.245,13.885,
100,14.6914,15.53906,16.351,12.26285,13.244,14.0556,
