Number of  User,h2h_high,h2h_mediu,h2h_low,m2m_high,m2m_medium,m2m_low,P=30
5,3.0296,3.832,4.259,2.3233,2.8182,3.1336,
10,4.3791,4.57,4.796,2.4669,3.2885,3.786,
15,4.655,4.8412,5.199,2.87159,3.3106,4.2,
20,4.9502926,5.701,6.4978,3.26066,3.741,4.3796,
25,5.48427,6.0955,7.344,3.5986,4,4.64895,
30,6.35248,6.863039,7.75601,4.02393,4.5155,5.4731,
35,6.769,7.966,8.8414,4.26031,5.3568,5.88,
40,7.381,8.2845,8.98727,4.8008,5.6031,6.449,
45,7.543,8.5082,9.8011,5.232938,5.65948,6.60929,
50,7.9621,8.975,10.2615,5.424,6.4909,7.29,
55,8.42967,9.687,10.915,5.93214,6.6194,7.4233,
60,9.2747,10.18401,10.95002,6.451,7.58068,8.552,
65,9.65,10.284,11.624,6.980268,8.204,8.8542,
70,10.363,11.29403,12.39,7.967,8.66,9.625,
75,10.84,11.6261,13.2376,8.5842,9.85,9.445,
80,11.465,12.249066,13.184093,8.78,9.86,10.29424,
85,11.717,12.4875,13.502,8.914,9.9665,10.558134,
90,12.02384,13.0114,13.6231,9.3766,10.36381,11.039621,
95,12.05209,13.03865,13.814,9.52977,10.39,11.19567,
100,12.0774,13.0962,13.836,9.591593,10.52737,11.20272,
