Number of  User,h2h_high,h2h_mediu,h2h_low,m2m_high,m2m_medium,m2m_low,P=54
5,0.4077,0.57188,0.752134,0.043,0.054,0.3052,
10,0.942,1.3002,1.55,0.405005,0.5709,0.901,
15,1.204,1.5755,2.036,0.55793,0.66024,1.08656,
20,1.676,2.2387,2.54,0.72902,1.0605,1.3818,
25,2.284,2.877,3.305,1.0968,1.2993,1.877,
30,2.5267,3.219,3.88,1.2517,1.6418,2.226,
35,3.168,3.82,4.5483,1.460918,1.929,2.528,
40,3.43013,4.299,5.0349,1.5812752,2.2865,2.873,
45,3.87,4.589,5.359621,1.69117,2.543859,3.29288,
50,4.0891,4.9,5.8642887,2.1526,2.91,3.579,
55,4.859,5.443,6.37,2.308,3.2844,4.05,
60,5.02859,5.895,6.591,2.5,3.35931,4.35853,
65,5.58344,6.29513,7.38292,3.06252,4.02354,4.84,
70,5.958,6.916,7.521,3.3577,4.3576,5.2839,
75,6.851,7.572,8.39849,3.812414,5.0378,5.942,
80,7.5,8.2902,8.9528,4.3895,5.3514,6.6291,
85,7.633,8.618,9.1535,4.988,6.02921,6.9826,
90,8.123851,8.81,9.287,5.66425,6.356943,7.2551,
95,8.245919,8.87,9.4385,6.02724,6.688,7.521,
100,8.36092,8.9513,9.54,6.13663,6.741,7.63,
