Number of  User,P=10,P=20,P=30,P=40,P=50
5,4.986,3.814,3.2558,2.631,1.679
10,6.668,5.493,4.2814,4.012,2.7012
15,7.9527,6.762,6.2848,4.954,3.526
20,10.222,8.051,7.257,6.48,4.966
25,11.514,10.0589,8.45,7.104,5.6012
30,14.397,12.1,10.05,8.305,6.535
35,15.528,13.5,12.436,9.296,8.1446
40,18.344,16.299,13.932,11.201,9.2351
45,19.676,17.016,15.403,12.558,10.1061
50,22.133,19.706,17.837,15.266,12.383
55,23.34,21.129,18.97,17.346,14.236941
60,23.862,22.39,19.804,18.316,16.123
65,24.322,23.159,21,19.2365,16.856
70,24.571,23.29852,21.279,19.613,16.966
75,25.095,23.3157,21.28,19.527,17.06
80,25.258,23.92,21.751,19.53,17.132
85,25.6,23.877,21.8302,19.69,17.5913
90,25.73,24.168,22.31,20.011,17.738
95,26.142,24.39,22.4,20.1334,17.64
100,26.243,24.227,22.74,20.2369,18.0128
