Number of iterations,DQN:a=0.1,DQN:a=0.2,DQN:a=0.3
12,-0.5,-2.66,-0.5
13,1.8,5.31,10.8
14,5.72,5.59,12.43
15,8.35,9.41,13.13
16,10.52,12.12,14.23
17,11.36,12.43,14.95
18,12.87,17.13,17.42
19,13.21,17.23,16.95
20,14.59,18.95,21.61
21,15,19.42,24.3
22,16.42,20.95,30.62
23,16.86,21.61,32.52
24,16.66,22.69,34.3
25,17.25,26.7,35.62
26,17.09,27,38.52
27,16.19,28,51.68
28,19.02,30.2,71.99
29,18.75,45.89,76.59
30,19.61,44.26,90
31,19.65,48.16,95.88
32,18.74,50.05,98.27
33,33.29,50.72,101.26
34,31.8,54.01,102.12
35,30.87,65.47,114.76
36,32.5,64.98,125.13
37,33.65,66.94,133.63
38,37.45,97.88,141.55
39,48.16,95.27,149.91
40,50.05,97.18,159.73
41,50.72,102.12,161.36
42,74.25,114.76,162.01
43,77.11,125.13,163.7
44,81.57,127.78,166.93
45,81.19,128.76,168.39
46,86.81,130.13,175.05
47,92.88,133.63,180.77
48,95.27,141.55,182.46
49,97.18,149.91,184.77
50,99.48,159.73,185.35
51,100.09,161.36,186.03
52,105.38,164.63,202.31
53,109.44,165.01,207.16
54,116.89,166.7,212.01
55,118.16,168.93,216.87
56,120.69,170.39,221.76
57,121.62,177.05,220.69
58,123.2,180,225.09
59,127.78,190,226.64
60,128.62,188.46,230.47
61,136.2,190.77,234.42
62,149.78,212.01,248.96
63,150.48,216.87,250.27
64,167.38,216.8,255.67
65,168.41,218.92,260.08
66,168.28,222.31,277.96
67,175.98,226.31,278.31
68,184.69,228.01,280.58
69,202.39,230,281.77
70,200.63,233,286.08
71,211.57,238,283.89
72,212.9,247.29,293.69
73,215.36,252.53,295.96
74,215.88,257.77,296.89
75,225.26,263.04,297.69
76,234.21,268.31,298.96
77,245.09,273.62,299.65
78,250.34,282.93,306.28
79,253.04,284.29,311.87
80,258.31,289.66,317.57
81,260.22,295.17,323.3
82,263.62,300.71,325.06
83,268.93,306.28,327.85
84,270.93,311.87,329.06
85,274.29,314.57,330.3
86,279.66,315.29,331.06
87,282.17,319.39,334.85
88,290.71,320.7,338.43
89,295.28,321.6,346.52
90,300.87,323.98,352.48
91,302.57,324.36,353.07
92,305.99,324.21,354.85
93,306.36,329.99,355.48
94,311.14,329.99,358.55
95,317.57,334.84,358.43
96,311.87,338.42,358.23
97,317.72,341.63,359.12
98,323.3,341.6,358.55
99,324.06,341.32,359.34
100,325,340.98,359.65
101,327.3,342.43,360.15
102,329.06,342.22,361.55
103,329.56,343.27,362.35
104,330.95,344.07,363.55
105,331.71,345.85,363.13
106,332.41,347.8,364.25
107,334,348.42,365
108,335.99,351.27,365.4
109,334.84,351.07,366.56
110,338.42,352.85,366.5
111,341.63,353,368.4
112,341.6,351.84,369
113,341.32,355.48,370
114,340.98,352.55,371
115,342.43,354.6,369.37
116,342.22,356.65,369.57
117,345.27,358.7,370
118,345.07,360.75,371.23
119,347.85,359.68,370.5
120,347.8,362.38,371
121,350.43,362.58,372.02
122,351.79,363.12,373.21
123,352.36,363.89,372.36
124,351.84,364.45,373.23
125,354,363.65,372.5
126,355.36,362.9,372.1
127,355.86,365.23,372.43
128,357.18,365.56,372.6
129,358.24,364,372.56
130,359.41,366,372.15
131,360,365.45,371.35
132,360.61,364.78,371.89
133,360.92,364.26,372.3
134,361.39,363.7,371.9
135,362.56,364,371
136,361.23,363.5,371.8
137,360.65,365,371.36
138,361.5,365.13,371.46
139,363,365.2,371.15
140,361.23,364.1,371.28
141,360.56,365.56,371.69
142,362.49,366,372.75
143,361.45,364.5,372.36
144,361.65,364.8,371.9
145,362.56,365.13,372.25
146,361.26,364.8,372.36
147,360.79,365,372.26
148,362.87,364.13,371.8
149,361.75,367.42,371.4
150,362.59,365.26,371
151,362.36,366.56,370.6
152,363.52,365.34,370.7
153,363.21,367.12,370.8
154,364.26,363.55,368.9
155,360.85,364.32,371.46
156,361.26,364.6,371.61
157,362.34,365.86,371.52
158,363.46,367.23,371.31
159,362.26,368.56,371.4
160,362.74,366.6,370.5
161,362.87,365.79,371.2
162,363.87,366.5,370.37
163,362.95,365.3,371.2
164,363.49,364.62,370.9
165,361.23,365.26,372.4
166,361.59,366.79,371.1
167,359.89,364.23,373.2
168,361.61,365.3,372.41
169,361.87,367.5,372.46
170,362.95,365.92,372.5
171,362,366.15,369
172,360.79,364.29,371
173,361.23,365.36,369.13
174,362.08,366.15,369.26
175,361.87,364,369.31
176,360.95,365,369.42
177,361,365.53,369.33
178,359.79,364.61,369.4
179,360.29,366.82,368.85
180,360.43,364.62,369.6
181,360.76,364.86,367.7
182,361.39,364.73,369.78
183,362.87,365.65,368.9
184,363.57,364.2,370
185,362.95,364.62,369.23
186,361,365.4,370.25
187,360.61,366.62,369.81
188,361.39,365.2,369.62
189,361.66,363.65,369.3
190,362.56,363.46,370.6
191,363.79,364.61,371.7
192,361.23,363.34,370.8
193,359.79,365.23,369
194,360.09,364.12,370.02
195,361.79,364.22,369.6
196,362.87,364.26,370.81
197,363.87,365.4,371
198,362.95,365.58,371.5
199,363.49,364.88,371.8
200,361.8,365.53,372.62
