Number of devices in total,h2h_high,h2h_medium,h2h_low,m2m_high,m2m_medium,m2m_low,P=54
5,1,1,1,1,1,0.95,
10,1,1,0.96,1,1,0.91,
15,1,1,0.91,1,0.995,0.81859,
20,1,0.95,0.78,1,0.85,0.75,
25,0.9651,0.8275,0.77,0.90288,0.7875,0.666666667,
30,0.960891,0.8,0.702727273,0.863333333,0.74,0.625,
35,0.908757143,0.7988,0.659701429,0.84111118,0.727272727,0.6,
40,0.888888889,0.75,0.627,0.818,0.714285714,0.586,
45,0.875,0.726777778,0.603566667,0.795,0.666666667,0.5376,
50,0.8181,0.685428571,0.596025,0.77,0.635,0.52569,
55,0.8,0.673636364,0.558333333,0.731692308,0.6,0.5,
60,0.78,0.625,0.529411765,0.695,0.583333333,0.455,
65,0.75,0.625845455,0.48,0.665833333,0.553333333,0.416666667,
70,0.745789474,0.5838,0.47,0.655,0.54,0.42,
75,0.723818182,0.57504555,0.464444444,0.630571429,0.524666667,0.401666667,
80,0.7,0.562,0.462631579,0.634596667,0.501461538,0.375333333,
85,0.658823529,0.55,0.436363636,0.60565,0.48528,0.384615385,
90,0.6432565,0.516666667,0.413733333,0.5845,0.46524,0.36527,
95,0.63213056,0.504854389,0.40384038,0.567651407,0.454236735,0.354620263,
100,0.621202589,0.4987985,0.389403125,0.545432353,0.44513256,0.35345125,
