前导码数,h2h_high,h2h_medium,h2h_low,m2m_high,m2m_medium,m2m_low,N=30
10,0.235901169,0.25067083,0.269856075,0.2838,0.3029409,0.314478481,
14,0.216343596,0.244603493,0.256630248,0.273252891,0.28995,0.304251269,
20,0.210256673,0.223504352,0.246217212,0.26921,0.287154276,0.29811,
24,0.19238401,0.221027103,0.241484098,0.260120865,0.273888333,0.294323661,
30,0.18996,0.210125907,0.234564045,0.253013405,0.268551018,0.286,
34,0.179201013,0.201134364,0.225424535,0.246185869,0.260347421,0.277912428,
40,0.169820249,0.1973604,0.212187651,0.23747936,0.250134247,0.271336332,
44,0.168920393,0.187536758,0.207250336,0.227049741,0.245701443,0.261342209,
50,0.162082155,0.180721313,0.199202413,0.21633071,0.230418417,0.251246249,
54,0.16130011,0.1764,0.191323252,0.213455589,0.224568942,0.240998,
