Number of  User,P=10,P=20,P=30,P=40,P=50
5,0.39,0.359265,0.3210339,0.298412698,0.2589169
10,0.425274551,0.387213404,0.365809885,0.326490467,0.280282438
15,0.471576836,0.435236206,0.380569561,0.368101266,0.310375865
20,0.47554014,0.450072824,0.423294271,0.375383041,0.314066799
25,0.496401644,0.469490145,0.434400837,0.403310264,0.337676473
30,0.51495704,0.479677307,0.439646916,0.413572582,0.364832112
35,0.530955151,0.49101443,0.45490231,0.423594054,0.365652488
40,0.560818943,0.528731685,0.464977172,0.436815453,0.375115232
45,0.5726643,0.53448,0.495015081,0.443546449,0.387886893
50,0.574245178,0.541822196,0.5053,0.45101401,0.387300881
55,0.58431903,0.554148376,0.512407664,0.478631152,0.41379619
60,0.591675388,0.558254114,0.510871111,0.473703277,0.403627203
65,0.605751705,0.569290746,0.521076393,0.486965403,0.425081914
70,0.620580696,0.58610163,0.543590647,0.497125274,0.429540193
75,0.634655572,0.593575208,0.554505288,0.514860736,0.441933543
80,0.63249498,0.617453206,0.568712302,0.52492,0.453283354
85,0.653476877,0.60850549,0.584891877,0.531438689,0.481793128
90,0.648093881,0.615492636,0.578601469,0.534498744,0.491444028
95,0.653610468,0.61253724,0.597579618,0.5542251,0.51091341
100,0.654804932,0.620575754,0.605796878,0.56,0.51244765
