Number of user,H2H P=10,M2M P=10,H2H P=30,M2M P=30,H2H P=50,M2M P=50
5,0.202059813,0.254023318,0.183741195,0.235730377,0.159420568,0.218634623
10,0.221620123,0.280431017,0.19979372,0.25830465,0.165942656,0.228050996
15,0.243186358,0.32959724,0.219103192,0.291575572,0.189269153,0.263671465
20,0.255432541,0.343672274,0.226462696,0.304533429,0.20165686,0.273641458
25,0.279342417,0.3678,0.24392858,0.347232812,0.203291905,0.304533035
30,0.28350412,0.395243986,0.25575445,0.354192994,0.22103576,0.324127443
35,0.312302809,0.403672352,0.2718784,0.370889105,0.232589703,0.335974721
40,0.31293048,0.410092639,0.283178841,0.388319188,0.25043358,0.363311574
45,0.333210223,0.420896595,0.295316066,0.382868215,0.248983913,0.36547921
50,0.331975519,0.435300068,0.293265069,0.399789,0.256046716,0.365592067
55,0.340557498,0.437350011,0.305504302,0.403924046,0.268034259,0.376294938
60,0.363273828,0.440688699,0.310461771,0.410372036,0.274869976,0.398604
65,0.380179963,0.465283909,0.338191379,0.43936996,0.284015353,0.403980866
70,0.386600802,0.487617148,0.352935915,0.444329734,0.312684178,0.42028069
75,0.410939273,0.507305094,0.359680036,0.468133771,0.32550603,0.431250551
80,0.412785862,0.505326598,0.374021268,0.476137806,0.334060322,0.446356804
85,0.423460337,0.518319139,0.401244949,0.493045533,0.335444643,0.454320381
90,0.44579069,0.525665936,0.402899574,0.4981252,0.364308987,0.475315033
95,0.459583328,0.543205188,0.42166846,0.526143705,0.371405709,0.498657018
100,0.467517049,0.547350228,0.428202607,0.52822963,0.384027314,0.49524855
