Frame,Convergence values
11,0.540521884
12,0.402661429
13,0.521577479
14,0.503936329
15,0.489203387
16,0.46176399
17,0.457497972
18,0.476747986
19,0.322438659
20,0.483392472
21,0.3
22,0.341756671
23,0.382665255
24,0.300308034
25,0.282473779
26,0.02
27,0.08
28,0.35
29,0.06
30,0.05
31,0.09
32,0.02
33,0.08
34,0.06
35,0.02
36,0.001
37,0.003
38,0.07
39,0.15258875
40,0.188626818
41,0.188822289
42,0.06
43,0.005
44,0.003
45,0.052
46,0.107
47,0.162
48,0.217
49,0.02
50,0.001
51,0.09
52,0.03
53,0.01
54,0.05
55,0.11
56,0.17
57,0.01
58,0.015
59,0.031
60,0.047
61,0.063
62,0.079
63,0.009
64,0.009
65,0.09
66,0.04
67,0.09
68,0.1
69,0.03
70,0.05
71,0.06
72,0.09
73,0.04
74,0.06
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0.09
86,0
87,0.04
88,0.1
89,0.11
90,0.099547512
91,0.24270737
92,0.21044378
93,0.126025625
94,0.128912043
95,0.161021351
96,0.118238755
97,0.113097569
98,0.141351554
99,0.03
100,0.01
101,0.06
102,0.03
103,0.03
104,0.06
105,0.09
106,0.03
107,0.02
108,0.01
109,0.03
110,0.04
111,0.05
112,0.04
113,0.04
114,0.04
115,0.04
116,0.08
117,0.02
118,0.07
119,0.04
120,0.07
121,0.04
122,0.04
123,0.01
124,0.02
125,0.1
126,0.05
127,0.01
128,0.09
129,0.02
130,0.01
131,0.009
132,0.003
133,0.001
134,0.006
135,0.007
136,0.009
137,0.008
138,0.004
139,0.006
140,0.009
141,0.02
142,0.09
143,0.01
144,0.07
145,0.06
146,0.08
147,0.1
148,0.03
149,0.01
150,0.1
151,0.03
152,0.1
153,0.06
154,0.1
155,0.0006
156,0.002
157,0.006
158,0.001
159,0.004
160,0.004
161,0.006
162,0.009
163,0.004
164,0.19288237
165,0.169968767
166,0.205485384
167,0.13
168,0.01
169,0
170,0.004
171,0.0005
172,0.006
173,0.0006
174,0.0005
175,0.0004
176,0.1
177,0.002
178,0.09
179,0.006
180,0.08
181,0.02
182,0.02
183,0.02
184,0.02
185,0.009
186,0.01
187,0.02
188,0.04
189,0.03
190,0.12
191,0.11
192,0.1
193,0.07
194,0.09
195,0.08
196,0.06
197,0.02
198,0.02
199,0.02
200,0
201,0.01023
202,0.0102
203,0.012
204,0.023
205,0.012
206,0.012
207,0.0123
208,0.012
209,0.001
210,0.012
211,0.023
212,0.012
213,0
214,0.003
215,0.002
216,0.006
217,0.009
218,0.003
219,0.004
220,0.008
221,0.02
222,0.1
223,0.02
224,0.03
225,0.006
226,0.002
227,0.002
228,0.009
229,0.01
230,0.003
231,0
232,0.01
233,0
234,0.01
235,0.07
236,0.09
237,0
238,0.01
239,0.09
240,0.1
241,0.1
242,0.012
243,0.01
244,0.0018
245,0.00161
246,0.001912
247,0.018
248,0.007
249,0.01
250,0.03
251,0.01
252,0.02
253,0.06
254,0.04
255,0.006
256,0.003
257,0.002
258,0.004
259,0.006
260,0.003
261,0.002
262,0.02
263,0.005
264,0.002
265,0.01
266,0.01
267,0.01
268,0.01
269,0.01
270,0.01
271,0.01
272,0.01
273,0.01
274,0.01
275,0.01
276,0.04
277,0
278,0.02
279,0.003
280,0.002
281,0.001
282,0.005
283,0.007
284,0.014
285,0.012
286,0.003
287,0.008
288,0.004
289,0.006
290,0.01
291,0.01
292,0.009
293,0.004
294,0.008
295,0.02
296,0.03
297,0.004
298,0.001
299,0.025
300,0.02
301,0.01
302,0.03
303,0.07
304,0.06
305,0.06
306,0.05
307,0.01
308,0.01
309,0.003
310,0.01
311,0.001
312,0.003
313,0.006
314,0.004
315,0.009
316,0.004
317,0.005
318,0.01
319,0
320,0.006
321,0.008
322,0.007
323,0.006
324,0.001
325,0.007
326,0.008
327,0.03
328,0.03
329,0.01
330,0.01
331,0.05
332,0.006
333,0.008
334,0.0004
335,0.006
336,0.004
337,0.005
338,0.001
339,0.003
340,0.0002
341,0.006
342,0.001
343,0.003
344,0
345,0.02
346,0.02
347,0.04
348,0.01
349,0.01
350,0.03
351,0.002
352,0.001
353,0.02
354,0.03
355,0.002
356,0.03
357,0.03
358,0.006
359,0.004
360,0.008
361,0.009
362,0.005
363,0.005
