frame,loss-values 1
12,9.44
13,9.65
14,9.68
15,9.69
16,9.72
17,9.79
18,9.79
19,10.01
20,0.47
21,0.47
22,0.5
23,0.5
24,0.51
25,0.54
26,0.65
27,0.8
28,1.59
29,10.9
30,0.61
31,0.74
32,0.4
33,0.5
34,0.77
35,0.79
36,0.6
37,0.86
38,18.08
39,18.09
40,18.9
41,19.41
42,19.42
43,6.78
44,15.75
45,5.34
46,14.22
47,57.97
48,3.48
49,12.53
50,87.31
51,82.61
52,84.4
53,31.51
54,95.46
55,42.73
56,23.16
57,32.65
58,42.95
59,32.75
60,79.9
61,32.9
62,27.74
63,81.69
64,5.47
65,60.95
66,43.04
67,76.21
68,29.94
69,28.16
70,53.35
71,19.64
72,60.23
73,95.54
74,122.88
75,0.92
76,5.01
77,102.44
78,96.68
79,54.57
80,14.43
81,2.96
82,0.01
83,95.72
84,84.84
85,37.57
86,37.57
87,151.98
88,122.8
89,116.36
90,22
91,4.14
92,106.72
93,106.32
94,79.14
95,8.41
96,4.51
97,76.51
98,69.34
99,58.07
100,16.24
101,52.48
102,4.44
103,84.39
104,18.41
105,90.98
106,1.54
107,76.84
108,0.44
109,101.33
110,73.82
111,73.34
112,3.22
113,13.64
114,61.35
115,72.93
116,0.02
117,1.74
118,2.7
119,95.09
120,111.38
121,124.7
122,2.65
123,6.31
124,3.69
125,61.56
126,129.71
127,0.78
128,3.19
129,113.8
130,4.13
131,86.97
132,0.3
133,1.54
134,60.4
135,86.87
136,93.94
137,108.87
138,19.12
139,101.48
140,0.25
141,81.74
142,1.86
143,9.17
144,0.38
145,2.11
146,9.89
147,61.59
148,126.37
149,22.78
150,22.69
151,38.05
152,41.07
153,89.03
154,83.96
155,100.96
156,14.57
157,5.76
158,3.64
159,13.19
160,11.78
161,104.79
162,79.69
163,48.09
164,46.56
165,55.9
166,43.05
167,69.85
168,66.82
169,21.82
170,1.44
171,76.83
172,85.62
173,79.99
174,78.74
175,73.32
176,76.09
177,12.59
178,47.88
179,1.87
180,0.71
181,112.79
182,3.3
183,70.42
184,71.48
185,32.39
186,8.58
187,8.56
188,1.63
189,13.74
190,69.23
191,93.9
192,35.72
193,85.06
194,27.16
195,10.17
196,15.85
197,80.68
198,22.74
199,17.07
200,10.73
201,63.36
202,55.84
203,67.74
204,3.78
205,0.51
206,111.16
207,1.18
208,65.36
209,2.04
210,35.16
211,135.58
212,10.78
213,8.98
214,7.42
215,124.38
216,29.01
217,88.59
218,14.27
219,15.75
220,68.09
221,4.71
222,0.16
223,0.06
224,99.25
225,97.48
226,1.57
227,0.17
228,0.33
229,59.25
230,6.3
231,35.31
232,12.32
233,93.21
234,90.21
235,3.55
236,99.6
237,21.86
238,30.49
239,20.91
240,15.68
241,63.79
242,4.51
243,32.38
244,0.63
245,7.03
246,17.02
247,33.57
248,23.78
249,23.96
250,24.02
251,24.29
252,39.07
253,45.06
254,77.15
255,30.78
256,31.01
257,31.26
258,53.69
259,14.82
260,51.67
261,0.22
262,0.96
263,53.27
264,0.01
265,38.24
266,89.11
267,0.23
268,1.8
269,4.89
270,24.36
271,72.9
272,31.92
273,46.98
274,91.43
275,45.64
276,84.22
277,66.45
278,79.63
279,65.94
280,49.61
281,64.42
282,60.22
283,65.09
284,1.01
285,0.77
286,0.47
287,69.39
288,17.25
289,22.37
290,21.7
291,3.44
292,15.23
293,7.96
294,2.43
295,6.21
296,37.02
297,63.35
298,33.32
299,34.44
300,22.44
301,33.32
302,23.15
303,16.67
304,33
305,66.61
306,30.78
307,36.07
308,17.03
309,23.53
310,3.23
311,4.03
312,5.99
313,15.29
314,12.96
315,11.42
316,7.31
317,3.03
318,9.25
319,0.16
320,6.54
321,6.7
322,10.35
323,30.69
324,34.28
325,14.43
326,0.35
327,0
328,3.77
329,0.37
330,3.55
331,4.68
332,4.55
333,40.98
334,0
335,38.47
336,2
337,11.37
338,46.1
339,41.98
340,6.14
341,1.71
342,2.22
343,10.3
344,10.15
345,62.16
346,22.25
347,54.86
348,43.96
349,19.11
350,50.11
351,42.16
352,0.18
353,16.03
354,4.33
355,4.57
356,5.73
357,24.51
358,35.16
359,15.66
360,19.11
361,11.16
362,2.49
363,0.51
364,12.24
365,15.59
366,20.19
367,15.45
368,0.92
369,3.64
370,4.98
371,1.43
372,22.22
373,23.61
374,0.5
375,0.38
376,30.02
377,11.54
378,17.54
379,50
380,46.36
381,43.97
382,36.22
383,37.54
384,36.59
385,11.23
386,11.01
387,0.46
388,28.56
389,14.47
390,5.46
391,12.37
392,23.34
393,20.78
394,27.1
395,15.02
396,14.5
397,15.02
398,9.72
399,2.16
400,1.43
401,4.43
402,4.3
403,2.59
404,0.02
405,0.02
406,9.39
407,9.79
408,2.54
409,0.06
410,2.23
411,3.84
412,4.56
413,4.23
414,2.19
415,0.1
416,4.34
417,1.84
418,6.31
419,29.48
420,23.84
421,21.04
422,14
423,11.04
424,0.97
425,1.63
426,0.87
427,0.08
428,1.65
429,7.79
430,39
431,1.36
432,3.36
433,9.01
434,9.36
435,22.03
436,24.95
437,8.29
438,4.01
439,0.03
440,26.5
441,0.86
442,1.48
443,24.99
444,16.2
445,8.04
446,8.49
447,0.31
448,22.28
449,6.99
450,18.08
451,17.85
452,1.65
453,7.48
454,13.38
455,1.17
456,1.31
457,13.38
458,7.48
459,12.46
460,0.15
461,16.84
462,29.6
463,27.93
464,13.57
465,1.34
466,7.25
467,12.9
468,1.32
469,0.47
470,1.68
471,3.79
472,1.34
473,2.36
474,6.98
475,18.33
476,3.58
477,0.12
478,0.3
479,5.1
480,6.95
481,6.23
482,4.17
483,0.16
484,0.04
485,1.58
486,22.16
487,12.22
488,2.67
489,1.36
490,2.16
491,8.03
492,4.55
493,1.99
494,5.62
495,2.27
496,3.91
497,4.74
498,3.89
499,1.98
500,8.29
501,4.01
502,0.03
503,26.5
504,0.41
505,7.43
506,3.44
507,10.41
508,1.68
509,1.69
510,1.71
511,1.73
512,1.77
513,0.1
514,4.34
515,9.44
516,14
517,11.04
518,15.95
519,8.29
520,4.01
521,0.03
522,16.5
523,0.86
524,1.48
525,4.99
526,6.2
527,8.04
528,8.49
529,0.31
530,2.28
531,6.99
532,10.08
533,11.85
534,1.65
535,7.48
536,10.38
537,1.17
538,1.31
539,10.38
540,7.48
541,12.46
542,0.15
543,6.84
544,21.6
545,20.93
546,13.57
547,1.34
548,7.25
549,12.9
550,1.32
551,0.47
552,1.68
553,3.79
554,1.34
555,2.36
556,6.98
557,8.33
558,3.58
559,0.12
560,0.3
561,5.1
562,6.95
563,6.23
564,4.17
565,0.16
566,0.04
567,1.58
568,10.16
569,12.22
570,2.67
571,1.36
572,12.16
573,8.03
574,11.55
575,1.99
576,5.62
577,2.27
578,3.91
579,4.74
580,3.89
581,1.98
582,8.29
583,4.01
584,0.03
585,2.5
586,0.41
587,7.43
588,3.44
589,2.2
590,1.68
591,1.69
592,1.71
593,1.73
594,1.77
595,0.1
596,4.34
597,9.44
598,10
599,1.04
600,0.97
601,1.63
602,0.87
603,0.08
604,11.26
605,9.79
606,6.14
607,12.25
608,0.38
609,0.38
610,0.38
611,0.39
612,0.41
613,0.41
614,0.43
615,0.46
616,0.47
617,0.47
618,0.47
619,3.2
620,11.25
621,10.44
622,8.04
623,8.49
624,0.31
625,7.25
626,12.9
627,1.32
628,0.47
629,1.68
630,3.79
631,0.16
632,0.04
633,0.87
634,0
635,1.41
636,0.58
637,2.37
638,3.89
639,3.42
640,0.02
641,10.53
642,0.16
643,0.04
644,1.58
645,2.16
646,2.22
647,2.67
648,1.36
649,1.16
650,8.03
651,1.55
652,1.99
653,5.62
654,2.27
655,3.91
656,4.74
657,3.89
658,1.98
659,8.29
660,4.01
661,0.03
662,1.5
663,0.41
664,7.43
665,3.44
666,11.41
667,1.68
668,1.69
669,1.71
670,1.73
671,1.77
672,0.1
673,4.34
674,9.44
675,14
676,11.04
677,0.97
678,1.63
679,0.87
680,0.08
681,11.26
682,9.79
683,6.14
684,9.25
685,0.18
686,0.08
687,0.3
688,0.01
689,0.41
690,0.16
691,0.04
692,1.58
693,12.16
694,10.22
695,2.67
696,1.36
697,12.16
698,8.03
699,11.55
700,1.99
701,5.62
702,2.27
703,3.91
704,4.74
705,3.89
706,1.98
707,8.29
708,4.01
709,0.03
710,10.5
711,0.41
712,7.43
713,3.44
714,11.41
715,1.68
716,1.69
717,1.71
718,1.73
719,1.77
720,0.1
721,4.34
722,9.44
723,14
724,11.04
725,0.97
726,1.63
727,0.87
728,0.08
729,16.26
730,9.79
731,6.14
732,3.25
733,0.18
734,0.35
735,0.28
736,0.39
737,0.41
738,2.74
739,3.89
740,1.98
741,8.29
742,4.01
743,0.03
744,12.5
745,0.86
746,1.48
747,4.99
748,16.2
749,4.64
750,13.76
751,2.01
752,1.73
753,8.04
754,8.49
755,0.31
756,11.5
757,8.12
758,1.41
759,0.08
760,5.61
761,0.75
762,1.87
763,4.64
764,13.76
765,2.01
766,1.73
767,9.24
768,0.38
769,8.04
770,8.49
771,0.51
772,0.1
773,0.31
774,0.21
775,0.15
776,0.23
777,0.41
778,3.61
779,7.54
780,1.47
781,5.4
782,9.33
783,3.26
784,7.19
785,1.12
786,5.4
787,1.35
788,3.56
789,3.05
790,6.86
791,4.59
792,8.11
793,8.04
794,8.49
795,0.31
796,4.17
797,0.16
798,0.04
799,2.67
800,0.14
801,3.2
802,7.46
803,7.25
804,12.9
805,1.32
806,0.47
807,1.68
808,3.79
809,6.31
810,7.46
811,1.34
812,2.36
813,6.98
814,0.12
815,0.3
816,5.1
817,1.17
818,3.23
819,11.69
820,4.55
821,10.46
822,0.15
823,1.84
824,4.2
825,10.47
826,4.66
827,3.43
828,3.98
829,1.48
830,5.06
831,11.12
832,3.02
833,15.72
834,9.68
835,15.45
836,2.39
837,9.79
838,2.54
839,3.84
840,4.56
841,4.23
842,2.19
843,0.1
844,4.34
845,1.84
846,6.31
847,10.48
848,10.84
849,11.04
850,14
851,11.04
852,0.97
853,1.63
854,0.87
855,0.08
856,1.65
857,7.79
858,12.45
859,0.14
860,3.2
861,7.46
862,7.25
863,12.9
864,1.32
865,0.47
866,1.68
867,3.79
868,6.31
869,7.46
870,1.34
871,2.36
872,6.98
873,0.12
874,0.3
875,5.1
876,1.17
877,6.23
878,4.17
879,0.16
880,0.04
881,2.67
882,1.36
883,3.36
884,9.23
885,9.36
886,10.03
887,0.97
888,1.63
889,0.87
890,0.08
891,6.26
892,9.79
893,6.14
894,2.25
895,0.38
896,0.28
897,0.32
898,0.39
899,0.41
900,0.31
901,0.43
902,0.46
903,0.45
904,0.41
905,0.37
906,3.2
907,6.25
908,5.44
909,8.04
910,8.49
911,0.31
912,7.25
913,12.9
914,1.32
915,0.47
916,1.68
917,3.79
918,0.16
919,0.04
920,0.87
921,0
922,1.41
923,0.58
924,2.37
925,3.89
926,3.42
927,0.02
928,2.53
929,0.11
930,1.01
931,0.77
932,0.47
933,7.31
934,3.03
935,9.25
936,2.73
937,2.22
938,10.3
939,0.18
940,0.19
941,4.33
942,4.57
943,3.23
944,0.92
945,3.64
946,4.98
947,4.43
948,2.79
949,3.09
950,0.07
951,5.3
952,3.01
953,4.24
954,4.57
955,2.15
956,0.9
957,5.46
958,0.86
959,0.47
960,3.21
961,1.26
962,5.5
963,4.6
964,5.02
965,4.05
966,4.43
967,4.3
968,2.59
969,0.01
970,0.02
971,2.79
972,1.15
973,1.69
974,4.55
975,3.72
976,3.9
977,2.56
978,4.2
979,3.48
980,3.06
981,1.84
982,3.56
983,2.41
984,0.36
985,0.05
986,0.02
987,0.61
988,7.48
989,2.97
990,5.41
991,0.36
992,0.05
993,0.02
994,0.61
995,10.52
996,16.15
997,2.01
998,1.73
999,0.31
1000,0.13
