1st epoch,21st epoch,48th epoch,57th epoch,65th epoch,92nd epoch,110th epoch
2,2,2,2,2,0,2
2,2,2,2,0,0,2
2,2,2,2,0,0,
2,2,2,0,0,0,
2,2,2,0,0,2,
2,2,2,0,0,2,
2,2,4,0,0,2,
2,2,2,2,0,2,
2,4,2,2,0,2,
2,4,2,2,2,2,
2,4,2,2,2,2,
2,4,2,2,0,2,
2,4,2,2,0,2,
2,2,2,2,0,2,
2,2,2,2,0,2,
2,2,2,2,2,2,
2,2,2,0,2,2,
2,2,2,0,2,,
2,2,2,0,2,,
2,2,2,0,2,,
0,2,2,0,2,,
0,2,2,0,0,,
0,2,2,0,2,,
0,2,2,2,0,,
0,2,2,2,0,,
0,2,2,0,0,,
0,2,2,2,2,,
0,2,2,2,2,,
2,2,2,2,,,
2,2,2,0,,,
2,2,2,0,,,
2,4,0,2,,,
2,4,0,0,,,
2,4,0,0,,,
2,4,2,0,,,
0,2,2,0,,,
0,2,0,2,,,
0,2,2,2,,,
0,2,2,0,,,
0,2,0,0,,,
0,2,2,0,,,
0,4,2,0,,,
0,4,2,0,,,
0,4,0,2,,,
0,2,0,0,,,
0,2,2,0,,,
0,2,2,0,,,
0,2,0,0,,,
0,2,2,0,,,
2,2,2,0,,,
2,2,0,0,,,
2,2,2,0,,,
2,2,0,0,,,
2,2,2,2,,,
2,2,2,,,,
2,2,0,,,,
2,2,2,,,,
2,4,0,,,,
2,4,0,,,,
2,4,2,,,,
2,2,0,,,,
2,2,2,,,,
2,2,0,,,,
2,2,2,,,,
2,2,2,,,,
2,2,0,,,,
2,2,2,,,,
2,2,2,,,,
2,2,0,,,,
2,2,0,,,,
2,2,2,,,,
2,2,2,,,,
2,2,0,,,,
2,2,0,,,,
2,2,2,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,2,,,,
2,2,0,,,,
2,2,2,,,,
2,2,2,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
