,Loss,Power,Delay
1,0,93.102,0
2,0.641168177,95.862,1.414150036
3,0.761020958,96.528,1.374203084
4,0.807150662,96.791,1.316099969
5,0.828816116,96.902,1.286823233
6,0.841408491,96.974,1.281862996
7,0.849662602,97.027,1.278181921
8,0.855418444,97.066,1.275764405
9,0.859578133,97.087,1.27729542
10,0.862057328,97.106,1.283855151
11,0.86398685,97.117,1.284875262
12,0.865376294,97.125,1.285586909
13,0.866610348,97.131,1.307370403
14,0.868156493,97.139,1.296494626
15,0.869447231,97.143,1.293360066
16,0.870565355,97.147,1.290731654
17,0.872288167,97.151,1.283607927
18,0.873870194,97.155,1.28688885
19,0.8750453,97.159,1.28751945
20,0.876105189,97.164,1.288190963
21,0.877030075,97.169,1.288705049
22,0.877686918,97.173,1.286954462
23,0.878099918,97.177,1.287503533
24,0.878628373,97.182,1.287923863
25,0.87921375,97.186,1.286362359
26,0.879888415,97.189,1.288981338
27,0.880612433,97.193,1.283978018
28,0.881280005,97.196,1.28435062
29,0.882073641,97.2,1.286796626
30,0.882904172,97.204,1.288989003
31,0.883813322,97.208,1.287721773
32,0.884821475,97.211,1.286564173
33,0.885977447,97.215,1.29163027
34,0.887244463,97.219,1.293232522
35,0.888564527,97.223,1.289436998
36,0.890123785,97.225,1.293793996
37,0.891760468,97.23,1.292606956
38,0.893391252,97.233,1.27176773
39,0.895081997,97.239,1.273690869
40,0.896606624,97.243,1.273906493
41,0.898137152,97.245,1.273507052
42,0.899799526,97.248,1.279966114
43,0.901587248,97.252,1.279403492
44,0.903438032,97.255,1.283013328
45,0.905537724,97.259,1.28057859
46,0.907734573,97.262,1.280812094
47,0.910246849,97.264,1.28634743
48,0.912823319,97.269,1.291581431
49,0.915547848,97.273,1.292572889
50,0.918134749,97.276,1.293512287
51,0.920801103,97.279,1.291009944
52,0.923433304,97.284,1.293715741
53,0.926168442,97.287,1.291428473
54,0.92883414,97.29,1.290723633
55,0.931486368,97.292,1.29005023
56,0.934169888,97.295,1.290916543
57,0.936885476,97.298,1.290226247
58,0.939646721,97.301,1.292598302
59,0.942581534,97.304,1.296492798
60,0.94570905,97.307,1.29715402
61,0.94890666,97.31,1.297317295
62,0.952281356,97.312,1.296590781
63,0.956026196,97.315,1.294648028
64,0.960037947,97.317,1.296705752
65,0.964203417,97.32,1.297248455
66,0.96821636,97.325,1.297425353
67,0.972261369,97.327,1.288627881
68,0.976389825,97.332,1.286971831
69,0.980826437,97.334,1.276531717
70,0.985597968,97.338,1.277434668
71,0.990808249,97.341,1.277154811
72,0.996123075,97.343,1.276884041
73,1.001470923,97.345,1.277735848
74,1.006810427,97.348,1.278559847
75,1.012142897,97.35,1.280511917
76,1.01750493,97.353,1.280644785
77,1.023151159,97.355,1.283751096
78,1.028859615,97.357,1.283399084
79,1.034536004,97.36,1.282096146
80,1.040199637,97.361,1.273472597
81,1.045752645,97.365,1.274273431
82,1.051265001,97.368,1.273174454
83,1.056936622,97.369,1.272106388
84,1.06265986,97.371,1.271948948
85,1.068287373,97.373,1.272090024
86,1.073940277,97.375,1.265869644
87,1.079527259,97.379,1.266719501
88,1.08492291,97.381,1.265794739
89,1.09017241,97.382,1.258599481
90,1.100247025,97.386,1.259497995
91,1.105275631,97.388,1.259648903
92,1.110176086,97.39,1.260523303
93,1.115073204,97.392,1.259733522
94,1.119932294,97.394,1.259899343
95,1.124510169,97.396,1.260749534
96,1.128859401,97.398,1.260750319
97,1.133086801,97.4,1.260931736
98,1.137078285,97.402,1.261749473
99,1.14086616,97.404,1.26188563
100,1.144537926,97.406,1.261873829
101,1.148097873,97.407,1.261972159
102,1.15128994,97.409,1.262085054
103,1.154354095,97.41,1.254206191
104,1.161764383,97.414,1.25355387
105,1.168814778,97.415,1.253680419
106,1.175718188,97.418,1.254535774
107,1.182487965,97.419,1.254626346
108,1.189485431,97.421,1.254730612
109,1.196240425,97.422,1.256383162
110,1.202717304,97.424,1.257190151
111,1.209052205,97.426,1.2596348
112,1.211039782,97.428,1.258959522
113,1.212842703,97.429,1.261332146
114,1.214449406,97.431,1.262051441
115,1.216040611,97.433,1.262166238
116,1.217395902,97.434,1.262295802
117,1.218448162,97.436,1.262282699
118,1.219118953,97.438,1.262426973
119,1.219550371,97.44,1.261751597
120,1.219686031,97.441,1.261875333
121,1.219698071,97.442,1.263302464
122,1.219592333,97.444,1.26397391
123,1.219237447,97.446,1.263303427
124,1.218717337,97.447,1.263961165
125,1.217897654,97.448,1.263303921
126,1.216850638,97.45,1.262659509
127,1.215742826,97.451,1.264010519
128,1.214330316,97.452,1.264635654
129,1.212706208,97.454,1.265248745
130,1.210839987,97.455,1.259188843
131,1.212212086,97.458,1.259205408
132,1.213488221,97.459,1.259279187
133,1.21450448,97.46,1.25871255
134,1.215543747,97.461,1.258733284
135,1.216391444,97.462,1.260021415
136,1.213929772,97.464,1.260029904
137,1.211357832,97.465,1.260126503
138,1.20856905,97.466,1.260735755
139,1.205647945,97.468,1.261972471
140,1.202601671,97.469,1.263156679
141,1.199414015,97.472,1.262590589
142,1.195846796,97.473,1.26256081
143,1.192081809,97.474,1.262629348
144,1.188212276,97.475,1.262615393
145,1.184334755,97.476,1.263784258
146,1.180345297,97.477,1.264327167
147,1.176300764,97.478,1.264861008
148,1.172058821,97.48,1.265386006
149,1.167664647,97.481,1.265452269
150,1.163246989,97.482,1.265415763
151,1.158756614,97.483,1.265351443
152,1.154287338,97.484,1.265316257
153,1.149733305,97.485,1.265403176
154,1.145001531,97.487,1.265368056
155,1.140215278,97.488,1.265431203
156,1.135353446,97.488,1.26593156
157,1.130387068,97.49,1.266424011
