Pre_RSRP,Post_RSRP,Delta_RSRP
-86.9797,-87.4168,-0.4371
-85.1941,-87.4854,-2.29129999999999
-87.6053,-84.8974,2.70789999999999
-89.0524,-84.2876,4.7648
-87.4921,-87.5284,-0.0363000000000113
-86.9318,-83.3866,3.54519999999999
-85.2579,-88.2403,-2.98239999999999
-90.2748,-89.3653,0.909499999999994
-89.776,-91.0649,-1.28889999999999
-90.1042,-89.2867,0.817500000000009
-91.67,-93.0279,-1.3579
-91.3968,-89.8429,1.55389999999999
-88.3105,-89.7131,-1.40259999999999
-87.3918,-88.7583,-1.3665
-86.9042,-88.3656,-1.46139999999999
-89.1856,-88.9279,0.257699999999999
-88.3745,-88.9069,-0.532399999999995
-89.3417,-89.4176,-0.07589999999999
-90.8212,-89.4901,1.3311
-87.7903,-85.8437,1.9466
-90.1695,-89.8283,0.3412
-89.7126,-88.5646,1.14799999999999
-88.5041,-87.9634,0.540700000000001
-89.3232,-88.9553,0.367900000000005
-88.3138,-89.41,-1.09619999999999
-88.3513,-89.9081,-1.5568
-88.8802,-87.1356,1.7446
-90.3747,-87.1686,3.2061
-91.8614,-87.5608,4.3006
-89.3031,-88.5634,0.739699999999999
-87.8471,-89.547,-1.69989999999999
-89.1201,-88.1947,0.925399999999996
-87.7701,-89.4549,-1.68479999999999
-86.6405,-89.1122,-2.47169999999999
-89.2895,-87.7859,1.5036
-88.4742,-85.6368,2.8374
-87.7861,-86.3552,1.4309
-86.756,-87.6719,-0.915899999999993
-88.4432,-87.7414,0.701800000000005
-85.078,-89.5052,-4.42719999999999
-87.4451,-89.0861,-1.641
-88.0996,-90.1385,-2.03889999999999
-86.0717,-86.5262,-0.454499999999995
-88.0179,-88.8032,-0.785300000000006
-89.99,-89.3233,0.666699999999991
-87.9626,-88.9311,-0.968500000000005
-88.0922,-88.3342,-0.24199999999999
-86.9761,-90.1352,-3.15909999999999
-90.0241,-89.0888,0.935299999999998
-89.0488,-90.2307,-1.18189999999999
-90.6364,-91.1691,-0.532700000000005
-88.8769,-88.4704,0.406500000000008
-86.7045,-87.5075,-0.802999999999997
-87.7815,-86.7929,0.988599999999991
-90.0005,-87.4868,2.5137
-88.2585,-88.8139,-0.555400000000005
-87.0563,-86.8588,0.19749999999999
-88.5073,-87.4273,1.07999999999999
-88.9383,-86.7774,2.16089999999999
-85.2243,-84.1033,1.12099999999999
-87.4307,-87.2972,0.133499999999997
-86.812,-88.0184,-1.2064
-84.6416,-87.3174,-2.6758
-90.7529,-89.1618,1.59109999999999
-87.1356,-86.4088,0.726799999999997
-87.7023,-85.8041,1.89819999999998
-88.0343,-91.7098,-3.67549999999999
-90.7995,-87.5871,3.21239999999998
-91.8456,-89.7911,2.0545
-89.5391,-92.3606,-2.8215
-91.3902,-89.277,2.11319999999999
-89.2223,-88.732,0.490300000000004
-87.115,-91.8484,-4.7334
-88.0397,-87.9056,0.134099999999989
-87.5959,-87.198,0.397900000000007
-89.9298,-85.8515,4.07829999999999
-86.6043,-85.3025,1.3018
-94.1052,-90.5282,3.57699999999999
-94.2719,-88.8977,5.3742
-91.2409,-89.7138,1.52709999999999
-92.6176,-89.6338,2.9838
-91.4103,-91.0781,0.3322
-93.2407,-89.6882,3.5525
-87.2904,-91.2151,-3.9247
-84.4517,-85.3934,-0.941699999999997
-87.9325,-84.8643,3.0682
-85.8593,-88.893,-3.03369999999999
-86.3419,-88.3479,-2.006
-86.7807,-87.6447,-0.864000000000004
-87.8683,-86.01,1.85829999999999
-89.1628,-86.5555,2.6073
-85.3414,-86.4534,-1.112
-87.4592,-85.5743,1.8849
-84.5879,-85.6817,-1.0938
-86.9712,-85.7803,1.19089999999999
-90.866,-88.0636,2.8024
-85.2608,-86.9395,-1.67869999999999
-89.9729,-88.4284,1.54449999999999
-87.3884,-86.4239,0.964500000000001
-88.3169,-87.5331,0.783799999999999
-89.4361,-86.711,2.72509999999999
-86.8365,-85.1896,1.6469
-87.5152,-86.8558,0.65939999999999
-89.2507,-85.3316,3.9191
-88.7021,-86.9231,1.77899999999999
-88.7384,-86.7991,1.9393
-87.7881,-86.8541,0.933999999999997
-86.3935,-87.9689,-1.5754
-89.4705,-86.6448,2.82569999999999
-85.0184,-87.1653,-2.1469
-87.9403,-89.4693,-1.52900000000001
-87.4893,-87.5218,-0.0324999999999988
-87.3986,-86.293,1.10559999999999
-84.8227,-86.1323,-1.3096
-88.8078,-88.0166,0.791200000000003
-86.3443,-86.0253,0.319000000000002
-89.0835,-88.9233,0.160200000000003
-90.9263,-88.9545,1.9718
-88.0568,-88.576,-0.519199999999997
-87.4273,-85.8404,1.5869
-88.0573,-87.1061,0.9512
-87.1358,-87.7435,-0.607699999999994
-88.5862,-88.6373,-0.051099999999991
-86.7379,-86.8099,-0.0720000000000027
-88.4308,-87.021,1.4098
-86.2278,-88.6305,-2.40269999999999
-89.7265,-87.5428,2.1837
-87.2693,-86.2706,0.998699999999999
-87.2062,-86.8609,0.345299999999994
-88.8441,-89.3063,-0.462199999999995
