Pre_RSRP,Post_RSRP,Delta_RSRP
-92.821736820391,-87.289459144167,5.53227767622397
-92.9775011674453,-88.0752426672161,4.90225850022916
-94.6690220213384,-88.2307624558889,6.43825956544949
-88.5210955710607,-81.7425736290121,6.77852194204865
-88.7296760341983,-83.8324430256589,4.89723300853931
-92.2969249061162,-84.2476292938118,8.04929561230436
-90.8518667855179,-82.6891806672456,8.1626861182723
-91.1653292705286,-86.8345059654785,4.33082330505014
-95.8354909291485,-85.5998491755917,10.2356417535567
-96.4529892302859,-92.7756278784881,3.67736135179777
-94.7508134075922,-86.7140897430085,8.0367236645837
-96.1494842728569,-90.0273089951162,6.12217527774065
-92.0053570575116,-87.8189021200831,4.18645493742845
-97.7489922286817,-88.2893509991964,9.45964122948525
-90.7136925704005,-85.0024293211459,5.71126324925462
-91.4529821797025,-87.680023094352,3.77295908535043
-93.3182741937674,-86.2331857302874,7.08508846347996
-93.0223008653237,-86.5603572717227,6.46194359360097
-89.8828329438143,-84.3819972570013,5.50083568681292
-90.2966110910815,-83.9543357158787,6.3422753752028
-88.8291358155467,-83.5133967124333,5.3157391031134
-87.8850503694682,-85.1738607390891,2.71118963037903
-91.1222283947352,-87.5856508075585,3.53657758717669
-89.2365635776975,-88.1973587560297,1.03920482166778
-92.1490061397994,-85.3290613513226,6.8199447884768
-90.5745297978272,-86.2028561734002,4.37167362442697
-91.5129973774479,-86.0927921933648,5.42020518408305
-90.391919245072,-85.0504180995474,5.34150114552453
-89.9000045121238,-87.3663328378871,2.53367167423675
-91.6349781874943,-85.6576535033957,5.97732468409853
-93.7323599693474,-90.5503600938867,3.18199987546063
-93.4115974301974,-90.4481371588129,2.96346027138451
-92.5281997216989,-89.9333996823377,2.59480003936121
-90.0785884117361,-84.4223398466313,5.65624856510477
-88.371455323154,-81.5398136754991,6.83164164765482
-93.2386016524241,-91.1553443953792,2.08325725704492
-96.0806590018802,-93.2802870543578,2.80037194752237
-92.4146459938862,-91.6657337927074,0.748912201178825
-94.4169681005791,-88.6684957720033,5.74847232857577
-92.0410433865544,-88.5769325805032,3.46411080605113
-90.9227990629517,-90.2880878139391,0.634711249012582
-90.4777441494398,-87.5956684490471,2.88207570039274
-90.6034876999867,-84.5083052807295,6.09518241925717
-89.010542120132,-85.7726786527851,3.23786346734692
-91.1930364610011,-86.6269651939731,4.56607126702796
-92.1691088036565,-85.5150418439171,6.65406695973943
-93.1330294347517,-84.6871268642636,8.4459025704881
-95.5038067144212,-83.5542597081805,11.9495470062407
-92.6971720846044,-84.0999337938472,8.59723829075719
-89.6329400876057,-89.1068170770292,0.526123010576512
-89.9902127456659,-84.1911116872231,5.79910105844277
-91.1233555509725,-90.2156605963714,0.907694954601041
-89.4703518404369,-84.7357144622002,4.73463737823676
-90.7484876352417,-86.1992895798022,4.5491980554395
-91.9225277995546,-86.067417412375,5.85511038717959
-90.6334923628078,-83.0732747723937,7.56021759041408
-93.4626207520836,-90.3131288928384,3.14949185924523
-90.5358271511303,-84.4275342809606,6.10829287016962
-88.253247369606,-83.4398999024982,4.81334746710783
-92.1925309454487,-88.3862055485875,3.80632539686121
-95.0495409353898,-88.071409668344,6.97813126704579
-87.5999262922859,-86.3914800555334,1.20844623675253
-92.0652708396887,-84.2998613317624,7.76540950792627
-93.1444920067056,-88.6262402454809,4.51825176122471
-90.0393179687193,-86.7296746482539,3.30964332046532
-89.6528197480962,-83.9561258813104,5.6966938667858
-93.105881188523,-84.5485973652059,8.55728382331713
-96.6123909189703,-89.6276181392038,6.98477277976651
-91.250497935057,-85.8956608041633,5.35483713089368
-92.0771294681424,-86.9139427786488,5.16318668949352
-91.0117665455039,-82.6092900492346,8.40247649626927
-92.7222404762396,-88.6232299535443,4.09901052269529
-93.5549543562544,-86.1545254550131,7.40042890124134
-88.5114354115599,-84.2323680317694,4.27906737979049
-90.7640348026195,-81.7181653746686,9.04586942795089
-88.4322229669587,-83.7690249280111,4.66319803894754
-90.9087895386304,-86.3793620637275,4.52942747490284
-88.5046802002397,-82.923798590466,5.58088160977369
-90.228782964293,-87.319295537978,2.90948742631503
-88.5836267176564,-83.8224400443232,4.76118667333318
-93.7582767426818,-84.3557607598068,9.40251598287491
-88.9553411949677,-86.0612399539274,2.89410124104031
-93.0374391446678,-90.4138873204408,2.623551824227
-97.5027418262777,-86.5564512024236,10.9462906238541
-90.6572862779461,-83.2301534864741,7.427132791472
-92.7482611963273,-84.9957654728059,7.75249572352146
-90.2216064580612,-82.0937703325158,8.12783612554542
-93.0905821898331,-88.5953305572632,4.49525163256988
-91.9692327195847,-86.4236314971774,5.54560122240728
-94.9495415209793,-88.9704963431131,5.97904517786622
-93.9683967110934,-86.104498869859,7.86389784123439
-90.7488186997353,-86.0021489191436,4.74666978059166
-92.5498711862532,-83.6479235308852,8.90194765536806
-92.8233025492377,-85.097460788976,7.72584176026164
-90.9945079185667,-82.5742817630345,8.42022615553213
-91.2841228439347,-85.9398392459558,5.34428359797888
-88.0296830517029,-86.2582526601058,1.7714303915971
-98.1618741705639,-87.419476053055,10.7423981175088
-92.6187246999305,-85.0544502856652,7.56427441426531
-89.609543210061,-85.1242010666425,4.48534214341857
-93.4367270161818,-86.3174813501307,7.1192456660511
-93.2651409993054,-89.1985504122447,4.06659058706068
-91.7888333793337,-82.297348749973,9.49148462936071
-88.4719303415403,-85.5751345733092,2.89679576823112
-89.0134985813577,-86.8908483458834,2.12265023547431
-87.3281127593556,-87.2978353718455,0.0302773875100825
