backbone,backbone_order,speed_mps,speed_order,seed,plot_x,jitter_x,delta_ppho_rate,delta_rlf_rate,delta_avg_rsrp_gain_db,completed_ho_drop_ratio,endpoint_improvements,clear_harm,denominator_tradeoff,cue_not_actuating,decision
CPPO,1,3.00000000,1,4,1,0.84000000,-0.52188000,-0.10940000,7.29224000,0.88326435,3,False,True,True,quality_denominator_tradeoff
CPPO,1,3.00000000,1,8,1,0.90000000,-0.07279000,-0.00884000,1.77168000,0.25451031,3,False,True,True,quality_denominator_tradeoff
CPPO,1,3.00000000,1,15,1,0.96000000,-0.01955000,-0.00036000,0.53213000,0.07888631,3,False,False,True,cue_not_actuating
CPPO,1,3.00000000,1,16,1,1.04000000,0.00132000,-0.00290000,0.36564000,-0.03576073,2,False,False,False,paired_seed_pass
CPPO,1,3.00000000,1,23,1,1.10000000,0.03298000,0.00499000,-0.58986000,-0.12037708,0,True,False,True,cue_not_actuating
CPPO,1,3.00000000,1,42,1,1.16000000,-0.03259000,-0.01233000,0.75978000,0.11221814,3,False,False,True,cue_not_actuating
D3QN,2,3.00000000,1,4,2,1.84000000,-0.01579000,-0.00266000,0.11426000,-0.01117735,3,False,False,False,paired_seed_pass
D3QN,2,3.00000000,1,8,2,1.90000000,-0.22649000,-0.03571000,2.72571000,0.55239213,3,False,True,False,quality_denominator_tradeoff
D3QN,2,3.00000000,1,15,2,1.96000000,-0.34598000,-0.05228000,5.92515000,0.70881442,3,False,True,False,quality_denominator_tradeoff
D3QN,2,3.00000000,1,16,2,2.04000000,-0.01051000,-0.00622000,0.48038000,0.04403523,3,False,False,False,paired_seed_pass
D3QN,2,3.00000000,1,23,2,2.10000000,-0.00481000,-0.00020000,-0.22772000,-0.03165584,2,False,False,False,paired_seed_pass
D3QN,2,3.00000000,1,42,2,2.16000000,-0.03014000,0.00058000,0.71864000,0.05698234,2,False,False,False,paired_seed_pass
DDQN,3,3.00000000,1,4,3,2.84000000,-0.03282000,-0.00553000,0.95008000,0.10685805,3,False,False,False,paired_seed_pass
DDQN,3,3.00000000,1,8,3,2.90000000,0.11788000,0.01981000,-1.21114000,-0.30749682,0,True,False,False,fail_clear_harm
DDQN,3,3.00000000,1,15,3,2.96000000,-0.01762000,0.00089000,0.13320000,0.03092784,2,False,False,False,paired_seed_pass
DDQN,3,3.00000000,1,16,3,3.04000000,0.03651000,0.00808000,-0.93146000,-0.15187713,0,True,False,False,fail_clear_harm
DDQN,3,3.00000000,1,23,3,3.10000000,0.05907000,0.00400000,-1.59090000,-0.22815534,0,True,False,False,fail_clear_harm
DDQN,3,3.00000000,1,42,3,3.16000000,0.04583000,0.00342000,-1.75815000,-0.24951267,0,True,False,False,fail_clear_harm
CPPO,1,6.00000000,2,4,4,3.84000000,-0.11473000,-0.01179000,4.35708000,0.31322460,3,False,True,True,quality_denominator_tradeoff
CPPO,1,6.00000000,2,8,4,3.90000000,-0.09443000,-0.01133000,3.16373000,0.26220580,3,False,True,True,quality_denominator_tradeoff
CPPO,1,6.00000000,2,15,4,3.96000000,-0.19959000,-0.01594000,6.55094000,0.55009046,3,False,True,True,quality_denominator_tradeoff
CPPO,1,6.00000000,2,16,4,4.04000000,-0.07420000,-0.00745000,2.60613000,0.23408348,3,False,True,True,quality_denominator_tradeoff
CPPO,1,6.00000000,2,23,4,4.10000000,-0.08261000,-0.00679000,2.53288000,0.23727366,3,False,True,True,quality_denominator_tradeoff
CPPO,1,6.00000000,2,42,4,4.16000000,-0.06384000,-0.00278000,2.35070000,0.17148667,3,False,False,True,cue_not_actuating
D3QN,2,6.00000000,2,4,5,4.84000000,-0.03394000,-0.00273000,1.37490000,0.11278370,3,False,False,False,paired_seed_pass
D3QN,2,6.00000000,2,8,5,4.90000000,0.01790000,0.00312000,-0.54156000,-0.06202164,0,True,False,False,fail_clear_harm
D3QN,2,6.00000000,2,15,5,4.96000000,0.02656000,-0.00030000,-0.72806000,-0.07860595,1,True,False,False,fail_clear_harm
D3QN,2,6.00000000,2,16,5,5.04000000,-0.03845000,-0.00513000,1.06117000,0.10130092,3,False,False,False,paired_seed_pass
D3QN,2,6.00000000,2,23,5,5.10000000,0.00625000,0.00054000,0.00080000,-0.01119221,1,False,False,False,fail_no_consistent_cg_benefit
D3QN,2,6.00000000,2,42,5,5.16000000,0.00100000,-0.00293000,0.28859000,0.02197241,2,False,False,False,paired_seed_pass
DDQN,3,6.00000000,2,4,6,5.84000000,-0.00939000,-0.00146000,0.13190000,0.01589631,3,False,False,False,paired_seed_pass
DDQN,3,6.00000000,2,8,6,5.90000000,-0.00762000,-0.00051000,0.14806000,0.02535404,3,False,False,False,paired_seed_pass
DDQN,3,6.00000000,2,15,6,5.96000000,0.02579000,0.00381000,-1.16528000,-0.09711873,0,True,False,False,fail_clear_harm
DDQN,3,6.00000000,2,16,6,6.04000000,-0.03935000,-0.00541000,1.28120000,0.10833152,3,False,False,False,paired_seed_pass
DDQN,3,6.00000000,2,23,6,6.10000000,0.05026000,0.00651000,-1.57201000,-0.13698630,0,True,False,False,fail_clear_harm
DDQN,3,6.00000000,2,42,6,6.16000000,-0.01338000,-0.00205000,0.61222000,0.04467104,3,False,False,False,paired_seed_pass
