speed_mps,strategy,variant,seed,user_id,pre_time_ms,post_time_ms,pre_rsrp_dbm,post_rsrp_dbm,delta_rsrp_db
1.0,DDQN,double_dqn,1,51,3394.0,3395.0,-92.69051609368788,-83.4020553442756,9.28846074941228
1.0,DDQN,double_dqn,1,30,3715.0,3716.0,-89.43278233176258,-87.22416970987211,2.2086126218904667
1.0,DDQN,double_dqn,7,51,3381.0,3382.0,-90.01915895686919,-83.74192480320816,6.277234153661027
1.0,DDQN,double_dqn,7,30,3789.0,3790.0,-89.28153006144505,-82.63042766130891,6.651102400136139
1.0,DDQN,double_dqn,21,51,3433.0,3434.0,-91.42475031460812,-84.55563095156093,6.86911936304719
1.0,DDQN,double_dqn,42,51,3419.0,3420.0,-89.71975625046723,-83.87181336874072,5.84794288172651
1.0,DDQN,double_dqn,42,30,3835.0,3836.0,-90.51813844813108,-86.1075888875556,4.41054956057549
1.0,DDQN,double_dqn,100,51,3404.0,3405.0,-90.83147366927464,-81.15812157883452,9.673352090440119
1.0,DDQN,double_dqn,100,30,3852.0,3853.0,-88.70601981412139,-83.88446067742916,4.82155913669223
3.0,DDQN,double_dqn,1,96,336.0,337.0,-93.91733903724736,-83.62350562963684,10.29383340761052
3.0,DDQN,double_dqn,1,73,442.0,443.0,-91.60385116282517,-83.74084498194716,7.863006180878003
3.0,DDQN,double_dqn,1,98,649.0,650.0,-92.30336099405834,-89.9647069689556,2.3386540251027412
3.0,DDQN,double_dqn,1,61,771.0,772.0,-90.32292566134122,-83.93504683410522,6.387878827235994
3.0,DDQN,double_dqn,1,97,782.0,783.0,-88.40029461342661,-80.9018678576171,7.498426755809504
3.0,DDQN,double_dqn,1,95,791.0,792.0,-89.4986110234329,-86.04674732177882,3.4518637016540765
3.0,DDQN,double_dqn,1,63,824.0,825.0,-90.27429126956504,-86.08772167766189,4.186569591903151
3.0,DDQN,double_dqn,1,95,858.0,859.0,-89.41898930175175,-86.66883353437304,2.7501557673787147
3.0,DDQN,double_dqn,1,104,877.0,878.0,-89.5720924794353,-82.48955911868582,7.08253336074948
3.0,DDQN,double_dqn,1,85,883.0,884.0,-90.27606031564648,-89.46609148572801,0.8099688299184606
3.0,DDQN,double_dqn,1,91,898.0,899.0,-89.18687508162705,-84.09024957130728,5.096625510319768
3.0,DDQN,double_dqn,1,73,953.0,954.0,-91.03851719482635,-86.97161687353777,4.0669003212885855
3.0,DDQN,double_dqn,1,98,965.0,966.0,-91.97033630268348,-86.86555193575259,5.104784366930886
3.0,DDQN,double_dqn,1,91,1100.0,1101.0,-93.65714517873286,-82.58827756947557,11.068867609257296
3.0,DDQN,double_dqn,1,80,1111.0,1112.0,-90.43503010612262,-82.34859082778807,8.086439278334552
3.0,DDQN,double_dqn,1,85,1132.0,1133.0,-94.47764932443144,-88.32681916495214,6.150830159479298
3.0,DDQN,double_dqn,1,65,1138.0,1139.0,-89.59465450459402,-82.11947242629098,7.475182078303035
3.0,DDQN,double_dqn,1,104,1159.0,1160.0,-92.2049754866051,-83.235288227623,8.969687258982091
3.0,DDQN,double_dqn,1,103,1168.0,1169.0,-90.62893102539462,-84.23701320912896,6.391917816265661
3.0,DDQN,double_dqn,1,108,1182.0,1183.0,-89.85900995723703,-84.11398999840574,5.745019958831293
3.0,DDQN,double_dqn,1,83,1258.0,1259.0,-95.23248134435894,-88.49715824259685,6.735323101762091
3.0,DDQN,double_dqn,1,62,1422.0,1423.0,-88.62938504122617,-85.23443539216049,3.39494964906568
3.0,DDQN,double_dqn,1,88,1442.0,1443.0,-92.46978586260276,-82.98128678788859,9.48849907471417
