speed_mps,speed_label,strategy,variant,plot_y,style_name,n,mean,median,q1,q3,whisker_low,whisker_high,min,max
1.00000000,1 m/s,FTH,fth,1,fthBox,17,3.09892265,3.44228036,1.87232700,4.30236267,0.36211478,7.51553000,-3.04712556,7.51553000
1.00000000,1 m/s,Value-only,vanilla_dqn,2,valueBox,8,6.93854738,6.46416828,5.59134695,7.57017754,4.41054956,9.67335209,4.41054956,10.95751948
1.00000000,1 m/s,DDQN,double_dqn,3,ddqnBox,9,6.22754811,6.27723415,4.82155914,6.86911936,2.20861262,9.67335209,2.20861262,9.67335209
1.00000000,1 m/s,Safeguarded cue-value,full_cg_dqn,4,safeBox,8,6.93854738,6.46416828,5.59134695,7.57017754,4.41054956,9.67335209,4.41054956,10.95751948
3.00000000,3 m/s,FTH,fth,1,fthBox,1643,3.30455336,3.30127228,1.57225106,5.01278755,-3.44957031,10.14854210,-5.58397845,11.30123843
3.00000000,3 m/s,Value-only,vanilla_dqn,2,valueBox,731,7.36521733,7.05426038,5.01290827,9.44759624,-1.51427140,16.08599182,-1.85608994,20.28438893
3.00000000,3 m/s,DDQN,double_dqn,3,ddqnBox,709,7.30136313,7.03372872,4.95261636,9.35331749,-1.32088534,15.65962766,-1.32088534,22.15426186
3.00000000,3 m/s,Safeguarded cue-value,full_cg_dqn,4,safeBox,732,7.17312807,6.93371786,4.89877757,9.35800106,-1.15158733,16.00139169,-1.15158733,20.28438893
6.00000000,6 m/s,FTH,fth,1,fthBox,5060,4.93629141,4.82695560,2.47064347,7.27729527,-4.50941675,14.38905895,-6.05281203,17.76563868
6.00000000,6 m/s,Value-only,vanilla_dqn,2,valueBox,2388,10.06874373,9.33287461,6.37726310,12.93147573,-2.87793226,22.72873646,-3.54225697,40.44008705
6.00000000,6 m/s,DDQN,double_dqn,3,ddqnBox,2411,10.35853094,9.57084003,6.71745676,13.46441564,-2.90116749,23.55010540,-2.90116749,48.28490196
6.00000000,6 m/s,Safeguarded cue-value,full_cg_dqn,4,safeBox,2426,9.95744567,9.30084675,6.29881185,12.87566749,-3.45962651,22.53023003,-3.45962651,36.18558553
