Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,29,2500.19,2497.01,0.0627247,-0.998031,-1.50803,12,2.32124,85.4722,-4.18228,11,831.007,-94.9294,-99.0437,1,0.5
2,29,2502.16,2496.66,0.98521,-0.171353,-0.172203,12,3.92904,77.9315,-11.1915,17,829.845,-88.7543,-100.387,1,0.5
3,29,2504.13,2496.32,0.98521,-0.171353,-0.172203,12,5.78675,69.317,-20.3043,17,827.875,-82.5424,-100.834,1,0.5
4,29,2506.1,2495.98,0.98521,-0.171353,-0.172203,12,7.71594,64.3536,-24.744,17,825.906,-74.9725,-99.4973,1,0.5
5,29,2508.07,2495.64,0.98521,-0.171353,-0.172203,12,9.67393,60.1189,-29.1895,17,823.937,-67.0908,-96.9475,1,0.5
6,29,2510.04,2495.29,0.98521,-0.171353,-0.172203,12,11.6462,57.1384,-32.0222,17,821.968,-72.3577,-99.4052,1,0.5
7,29,2508.13,2495.89,-0.955009,0.296577,2.84049,12,9.64684,64.5471,-25.539,17,823.876,-71.0324,-97.3594,1,0.5
8,29,2506.22,2496.48,-0.955009,0.296577,2.84049,12,7.6478,64.49,-24.5325,17,825.784,-74.2071,-99.6895,1,0.5
9,29,2504.31,2497.07,-0.955009,0.296577,2.84049,12,5.64944,70.1579,-19.324,17,827.692,-80.2868,-98.8974,1,0.5
10,29,2502.4,2497.66,-0.955009,0.296577,2.84049,12,3.65289,79.3243,-10.6816,17,829.601,-84.7422,-97.1599,1,0.5
11,29,2500.49,2498.26,-0.955009,0.296577,2.84049,12,1.66463,88.663,-1.57515,17,831.51,-97.6854,-96.6192,1,0.5
12,29,2501.63,2499.9,0.57122,0.820797,0.962805,12,2.78213,82.3089,-7.89071,17,830.368,-87.8128,-95.9295,1,0.5
13,29,2502.78,2501.54,0.57122,0.820797,0.962805,12,4.55077,74.6402,-14.8035,17,829.229,-80.4337,-98.6653,1,0.5
14,29,2503.92,2503.18,0.57122,0.820797,0.962805,12,6.45591,67.9039,-21.5547,17,828.093,-74.604,-96.5563,1,0.5
15,29,2505.06,2504.82,0.57122,0.820797,0.962805,12,8.40524,66.0221,-23.5708,17,826.961,-71.2074,-95.8414,1,0.5
16,29,2506.2,2506.47,0.57122,0.820797,0.962805,12,10.3739,59.6267,-30.1456,13,825.565,-69.7545,-97.4893,1,0.5
17,29,2506.73,2504.54,0.263746,-0.964592,-1.30389,12,9.50835,65.3064,-24.2467,17,825.289,-69.0393,-97.0365,1,0.5
18,29,2507.26,2502.61,0.263746,-0.964592,-1.30389,12,9.0111,61.4735,-27.6286,17,824.751,-66.6054,-95.5604,1,0.5
19,29,2507.78,2500.68,0.263746,-0.964592,-1.30389,12,8.94379,62.9453,-26.3179,17,824.217,-71.7747,-97.2754,1,0.5
20,29,2508.31,2498.75,0.263746,-0.964592,-1.30389,12,9.31572,63.8269,-25.8841,17,823.688,-70.7682,-96.346,1,0.5
21,29,2508.84,2496.82,0.263746,-0.964592,-1.30389,12,10.0784,64.3805,-25.6829,17,823.163,-73.5888,-99.6761,1,0.5
22,29,2510.82,2496.53,0.989537,-0.14428,-0.144786,12,12.0739,59.164,-30.685,17,821.185,-66.6026,-97.9647,1,0.5
23,29,2512.8,2496.24,0.989537,-0.14428,-0.144786,12,14.0707,53.7266,-35.3885,17,819.207,-68.4012,-99.2067,1,0.5
24,29,2514.78,2495.95,0.989537,-0.14428,-0.144786,12,16.0683,51.8371,-37.2476,17,817.229,-59.6641,-97.2551,1,0.5
25,29,2516.76,2495.67,0.989537,-0.14428,-0.144786,12,18.0664,51.7536,-38.1066,17,815.251,-63.4211,-98.2842,1,0.5
26,29,2518.74,2495.38,0.989537,-0.14428,-0.144786,12,20.0649,53.464,-36.4531,17,813.273,-58.0043,-97.1264,1,0.5
27,29,2517.9,2497.19,-0.419495,0.907758,2.00369,12,18.9824,51.0517,-38.3455,17,814.106,-56.2792,-96.7015,1,0.5
28,29,2517.06,2499.01,-0.419495,0.907758,2.00369,12,18.0572,53.0066,-37.1484,17,814.943,-59.4222,-97.9533,1,0.5
29,29,2516.22,2500.82,-0.419495,0.907758,2.00369,12,17.3146,55.9092,-34.3116,17,815.784,-57.3118,-97.2267,1,0.5
30,29,2515.38,2502.64,-0.419495,0.907758,2.00369,12,16.7787,53.4779,-36.2476,17,816.629,-64.4776,-98.8142,1,0.5
31,29,2514.54,2504.45,-0.419495,0.907758,2.00369,12,16.4699,55.5294,-34.3628,17,817.478,-61.3371,-96.4664,1,0.5
32,29,2512.55,2504.27,-0.995769,-0.0918915,-3.04957,12,14.538,55.9495,-33.8577,17,819.468,-66.1089,-98.7441,1,0.5
33,29,2510.56,2504.09,-0.995769,-0.0918915,-3.04957,12,12.6274,58.7704,-31.3351,17,821.459,-66.3685,-97.6913,1,0.5
34,29,2508.57,2503.9,-0.995769,-0.0918915,-3.04957,12,10.7493,59.5864,-30.0604,17,823.449,-70.8901,-99.1667,1,0.5
35,29,2506.57,2503.72,-0.995769,-0.0918915,-3.04957,12,8.92434,65.0377,-24.2439,17,825.439,-72.598,-97.9119,1,0.5
36,29,2504.58,2503.54,-0.995769,-0.0918915,-3.04957,12,7.19311,68.7201,-21.9562,17,827.43,-76.869,-97.172,1,0.5
37,29,2506.58,2503.41,0.998148,-0.0608299,-0.0608675,12,8.77075,62.0062,-27.0877,17,825.433,-69.5008,-97.1992,1,0.5
38,29,2508.58,2503.29,0.998148,-0.0608299,-0.0608675,12,10.4934,60.9507,-29.6458,17,823.436,-68.0202,-97.7316,1,0.5
39,29,2510.57,2503.17,0.998148,-0.0608299,-0.0608675,12,12.3003,58.0237,-31.8432,17,821.439,-69.3176,-99.2371,1,0.5
40,29,2512.57,2503.05,0.998148,-0.0608299,-0.0608675,12,14.1592,56.5863,-33.4418,17,819.442,-64.7195,-98.1663,1,0.5
41,29,2514.56,2502.93,0.998148,-0.0608299,-0.0608675,12,16.052,52.1209,-37.5217,17,817.445,-63.8302,-97.5088,1,0.5
42,29,2516.36,2502.06,0.900165,-0.435549,-0.450649,12,17.6314,56.0256,-34.2266,17,815.641,-59.2989,-97.4827,1,0.5
43,29,2518.16,2501.19,0.900165,-0.435549,-0.450649,12,19.2889,51.2873,-38.018,17,813.838,-59.8935,-99.1399,1,0.5
44,29,2519.97,2500.31,0.900165,-0.435549,-0.450649,12,21.0062,52.1245,-38.6258,17,812.036,-59.3547,-97.7826,1,0.5
45,29,2521.77,2499.44,0.900165,-0.435549,-0.450649,12,22.7697,49.295,-40.1642,17,810.235,-56.0784,-96.3375,1,0.5
46,29,2523.57,2498.57,0.900165,-0.435549,-0.450649,12,24.5694,50.6516,-39.4165,17,808.434,-54.4013,-98.6576,1,0.5
47,29,2523.48,2496.57,-0.0443815,-0.999015,-1.61519,12,24.5968,49.1869,-41.124,17,808.527,-56.5284,-97.2885,1,0.5
48,29,2523.39,2494.58,-0.0443815,-0.999015,-1.61519,12,24.7861,45.6584,-43.1774,17,808.624,-56.4036,-99.1036,1,0.5
49,29,2523.3,2492.58,-0.0443815,-0.999015,-1.61519,12,25.1337,47.6767,-41.5985,17,808.726,-55.5902,-98.4671,1,0.5
50,29,2523.21,2490.58,-0.0443815,-0.999015,-1.61519,12,25.633,48.1748,-41.1431,17,808.833,-58.0921,-97.5314,1,0.5
51,29,2523.12,2488.58,-0.0443815,-0.999015,-1.61519,12,26.2754,46.4939,-42.5797,17,808.945,-53.1706,-96.9192,1,0.5
52,29,2521.23,2487.94,-0.947292,-0.320371,-2.81547,12,24.8263,47.7875,-42.0421,17,810.848,-55.1972,-98.1394,1,0.5
53,29,2519.33,2487.3,-0.947292,-0.320371,-2.81547,12,23.4584,48.0939,-41.5594,17,812.751,-54.8991,-96.0588,1,0.5
54,29,2517.44,2486.66,-0.947292,-0.320371,-2.81547,12,22.1865,46.7093,-42.1069,17,814.655,-55.3155,-98.2724,1,0.5
55,29,2515.54,2486.02,-0.947292,-0.320371,-2.81547,12,21.0283,51.2694,-38.5851,17,816.56,-55.3883,-95.3436,1,0.5
56,29,2513.65,2485.38,-0.947292,-0.320371,-2.81547,12,20.0035,50.7921,-38.7195,17,818.464,-57.836,-95.503,1,0.5
57,29,2513.38,2487.36,-0.134156,0.99096,1.70536,12,18.5009,54.0861,-35.0438,17,818.702,-57.6004,-97.7268,1,0.5
58,29,2513.11,2489.34,-0.134156,0.99096,1.70536,12,17.1006,53.2099,-37.1353,17,818.945,-61.7347,-98.8951,1,0.5
59,29,2512.84,2491.32,-0.134156,0.99096,1.70536,12,15.8296,55.2304,-34.7578,17,819.192,-62.8281,-97.2143,1,0.5
60,29,2512.58,2493.31,-0.134156,0.99096,1.70536,12,14.7214,56.0648,-33.3678,17,819.444,-66.5639,-98.6036,1,0.5
61,29,2512.31,2495.29,-0.134156,0.99096,1.70536,12,13.8154,57.4791,-32.1989,17,819.701,-65.5106,-97.8824,1,0.5
62,29,2514.3,2495.14,0.997178,-0.0750676,-0.0751383,12,15.7816,53.2798,-35.5733,17,817.707,-62.6539,-98.8946,1,0.5
63,29,2516.3,2494.99,0.997178,-0.0750676,-0.0751383,12,17.7554,54.6253,-35.8805,17,815.714,-63.9802,-98.5426,1,0.5
64,29,2518.29,2494.84,0.997178,-0.0750676,-0.0751383,12,19.7344,52.91,-37.0871,17,813.72,-58.5642,-98.2353,1,0.5
65,29,2520.28,2494.69,0.997178,-0.0750676,-0.0751383,12,21.7173,50.2516,-39.7741,17,811.727,-60.679,-98.8128,1,0.5
66,29,2522.28,2494.54,0.997178,-0.0750676,-0.0751383,12,23.7031,45.6204,-44.3235,17,809.733,-56.1175,-98.0079,1,0.5
67,29,2522.07,2492.55,-0.106334,-0.994331,-1.67733,12,23.9517,46.4389,-42.1647,17,809.959,-59.8446,-96.5433,1,0.5
68,29,2521.85,2490.56,-0.106334,-0.994331,-1.67733,12,24.3625,46.1679,-43.1518,17,810.19,-54.2509,-97.4581,1,0.5
69,29,2521.64,2488.57,-0.106334,-0.994331,-1.67733,12,24.9275,46.5533,-43.2229,17,810.426,-56.6715,-100.418,1,0.5
70,29,2521.43,2486.58,-0.106334,-0.994331,-1.67733,12,25.6365,49.9075,-40.6964,17,810.667,-55.5111,-98.6891,1,0.5
71,29,2521.22,2484.59,-0.106334,-0.994331,-1.67733,12,26.4778,44.9347,-44.2355,17,810.912,-51.5562,-95.6178,1,0.5
72,29,2522.98,2485.53,0.884087,0.467322,0.486259,12,27.5084,44.801,-45.4045,17,809.128,-50.2518,-96.2492,1,0.5
73,29,2524.75,2486.46,0.884087,0.467322,0.486259,12,28.6416,43.7871,-45.5967,17,807.345,-54.624,-99.3598,1,0.5
74,29,2526.52,2487.4,0.884087,0.467322,0.486259,12,29.866,44.2031,-45.0012,17,805.563,-51.3381,-96.7108,1,0.5
75,29,2528.29,2488.33,0.884087,0.467322,0.486259,12,31.1707,43.2737,-45.1757,17,803.782,-52.0066,-97.8763,1,0.5
76,29,2530.06,2489.27,0.884087,0.467322,0.486259,12,32.5461,41.7964,-47.82,17,802.002,-50.8836,-98.3023,1,0.5
77,29,2529.01,2487.57,-0.525083,-0.851051,-2.12361,12,32.1115,42.1276,-47.3785,17,803.075,-52.5749,-100.298,1,0.5
78,29,2527.96,2485.86,-0.525083,-0.851051,-2.12361,12,31.797,43.0625,-46.7706,17,804.151,-51.4568,-97.2896,1,0.5
79,29,2526.91,2484.16,-0.525083,-0.851051,-2.12361,12,31.6062,43.5479,-46.3479,17,805.231,-49.377,-96.1123,1,0.5
80,29,2525.86,2482.46,-0.525083,-0.851051,-2.12361,12,31.5414,45.7953,-43.7858,17,806.314,-51.3568,-98.2602,1,0.5
