variant_order,variant,variant_label,speed_order,speed_mps,speed_label,seed_count,total_hos_mean,completed_hos_mean,hof_rate_mean,hof_rate_std,ppho_rate_mean,ppho_rate_std,rlf_rate_mean,rlf_rate_std,avg_rsrp_gain_db_mean,avg_rsrp_gain_db_std,avg_throughput_mbps_mean,avg_throughput_mbps_std
1,fth,FTH,1,1,1,5,3.4,3.4,0.69336,0.05961357228,0.08,0.1788854382,0.04,0.0894427191,3.08108,0.455226369,0,0
1,fth,FTH,2,3,3,5,328.6,328.6,0.77332,0.02536566577,0.59078,0.01434562651,0.05286,0.008639328678,3.30458,0.09817559269,0,0
1,fth,FTH,3,6,6,5,1012,1012,0.8502,0.01632069239,0.56052,0.01130429122,0.04064,0.004760567193,4.93862,0.1482627971,0,0
2,adaptive_heuristic,Adaptive,1,1,1,5,3.8,3,0.78334,0.1263735653,0,0,0,0,3.96592,1.32863652,0,0
2,adaptive_heuristic,Adaptive,2,3,3,5,2928.4,2914.8,0.68748,0.008088077646,0.91852,0.001495660389,0.14534,0.006812341741,1.0894,0.02883946948,0,0
2,adaptive_heuristic,Adaptive,3,6,6,5,5379.4,5370.8,0.73422,0.01034997585,0.8588,0.002889636655,0.12278,0.005335916041,1.36722,0.03252694268,0,0
3,vanilla_dqn,Value-only,1,1,1,5,6,1.6,0.73,0.09601794103,0,0,0,0,7.3335,2.177789036,0,0
3,vanilla_dqn,Value-only,2,3,3,5,299.8,146.2,0.89606,0.01403595383,0.3544,0.01557289312,0.0082,0.003025723054,7.36856,0.2675659788,0,0
3,vanilla_dqn,Value-only,3,6,6,5,896.6,477.6,0.9512,0.007717512553,0.38066,0.0130195238,0.0046,0.001734935157,10.07186,0.1907560563,0,0
4,double_dqn,DDQN,1,1,1,5,5.4,1.8,0.74,0.1010912706,0,0,0,0,6.2917,0.8548644834,0,0
4,double_dqn,DDQN,2,3,3,5,291.6,141.8,0.90488,0.02225448269,0.32864,0.01414984099,0.00696,0.009882965142,7.30452,0.2235725095,0,0
4,double_dqn,DDQN,3,6,6,5,900.8,482.2,0.94518,0.0104024997,0.3779,0.0089,0.00708,0.002429403219,10.35634,0.1891915907,0,0
5,cg_dqn_no_wcfh,Cue-value w/o WCFH,1,1,1,5,6,1.6,0.73,0.09601794103,0,0,0,0,7.3335,2.177789036,0,0
5,cg_dqn_no_wcfh,Cue-value w/o WCFH,2,3,3,5,298.6,146.4,0.891,0.009551963149,0.36096,0.02288138982,0.01252,0.0128476457,7.17758,0.2475001253,0,0
5,cg_dqn_no_wcfh,Cue-value w/o WCFH,3,6,6,5,902,486,0.95452,0.006799779408,0.38248,0.01536658713,0.00492,0.003110787682,10.01322,0.1524746438,0,0
6,full_cg_dqn,Safeguarded cue-value,1,1,1,5,6,1.6,0.73,0.09601794103,0,0,0,0,7.3335,2.177789036,0,0
6,full_cg_dqn,Safeguarded cue-value,2,3,3,5,298.6,146.4,0.891,0.009551963149,0.36096,0.02288138982,0.01252,0.0128476457,7.17758,0.2475001253,0,0
6,full_cg_dqn,Safeguarded cue-value,3,6,6,5,919.2,485.2,0.94908,0.004775143977,0.38152,0.01593320432,0.00536,0.004007867263,9.95952,0.2959358748,0,0
