Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,26,2498.19,2502.4,-0.601782,0.79866,2.21653,12,3.49017,80.1077,-10.069,13,829.604,-87.7973,-97.417,1,0.5
2,26,2496.98,2500.81,-0.609625,-0.79269,-2.22638,12,2.71611,79.7283,-9.86653,7,830.977,-88.7734,-95.4797,1,0.5
3,26,2495.76,2499.23,-0.609625,-0.79269,-2.22638,12,3.25165,81.1684,-8.83323,7,829.756,-90.3353,-98.5714,1,0.5
4,26,2494.54,2497.64,-0.609625,-0.79269,-2.22638,12,4.66575,72.0252,-17.2755,7,828.538,-80.2772,-96.25,1,0.5
5,26,2493.32,2496.05,-0.609625,-0.79269,-2.22638,12,6.40041,70.1384,-19.9958,7,827.323,-76.5161,-97.9852,1,0.5
6,26,2492.1,2494.47,-0.609625,-0.79269,-2.22638,12,8.25598,66.9462,-22.8044,7,826.111,-73.0073,-98.2174,1,0.5
7,26,2493.13,2496.19,0.513696,0.857972,1.03131,12,6.51386,69.7038,-20.6744,7,827.131,-78.4499,-98.5796,1,0.5
8,26,2494.15,2497.9,0.513696,0.857972,1.03131,12,4.96985,75.0332,-14.4402,7,828.154,-83.7091,-98.4052,1,0.5
9,26,2495.18,2499.62,0.513696,0.857972,1.03131,12,3.86892,77.6529,-12.2227,7,829.181,-87.0712,-100.076,1,0.5
10,26,2496.21,2501.33,0.513696,0.857972,1.03131,12,3.63835,75.1332,-14.7326,7,830.211,-86.3172,-97.2728,1,0.5
11,26,2497.24,2503.05,0.513696,0.857972,1.03131,12,4.41664,75.2613,-13.7091,13,828.953,-87.1405,-101.64,1,0.5
12,26,2495.32,2503.62,-0.958848,0.28392,2.85371,12,5.90533,72.4022,-17.4064,13,828.392,-80.6048,-98.8375,1,0.5
13,26,2493.4,2504.18,-0.958848,0.28392,2.85371,12,7.63146,67.5812,-22.6403,7,827.416,-74.3102,-98.9581,1,0.5
14,26,2491.48,2504.75,-0.958848,0.28392,2.85371,12,9.46601,64.5922,-24.9138,7,825.502,-71.9841,-96.8803,1,0.5
15,26,2489.56,2505.32,-0.958848,0.28392,2.85371,12,11.3566,60.0508,-29.8435,7,823.589,-68.6932,-96.9975,1,0.5
16,26,2487.65,2505.89,-0.958848,0.28392,2.85371,12,13.2792,58.2048,-30.488,7,821.676,-67.8602,-100.583,1,0.5
17,26,2489.53,2505.22,0.943145,-0.332381,-0.338827,12,11.3291,59.7084,-29.6761,7,823.557,-72.8506,-99.7655,1,0.5
18,26,2491.42,2504.56,0.943145,-0.332381,-0.338827,12,9.40006,63.4401,-26.2452,7,825.438,-68.0504,-94.5806,1,0.5
19,26,2493.31,2503.89,0.943145,-0.332381,-0.338827,12,7.50818,67.6778,-21.8495,7,827.32,-75.1413,-98.9938,1,0.5
20,26,2495.19,2503.23,0.943145,-0.332381,-0.338827,12,5.69074,72.1086,-17.0659,13,828.78,-78.0524,-96.3653,1,0.5
21,26,2497.08,2502.56,0.943145,-0.332381,-0.338827,12,4.04923,77.3056,-12.3084,13,829.438,-81.9434,-96.6537,1,0.5
22,26,2495.2,2501.89,-0.941407,-0.337272,-2.79758,12,4.77746,74.8544,-14.6494,7,829.201,-80.7435,-97.7094,1,0.5
23,26,2493.31,2501.22,-0.941407,-0.337272,-2.79758,12,6.10344,73.2056,-16.7112,7,827.316,-76.0246,-96.762,1,0.5
24,26,2491.43,2500.54,-0.941407,-0.337272,-2.79758,12,7.72527,67.824,-22.2027,7,825.431,-73.5772,-99.6278,1,0.5
25,26,2489.55,2499.87,-0.941407,-0.337272,-2.79758,12,9.4925,63.9782,-26.1553,7,823.548,-70.6497,-96.5073,1,0.5
26,26,2487.66,2499.19,-0.941407,-0.337272,-2.79758,12,11.3373,62.1173,-28.1507,7,821.664,-68.749,-96.2371,1,0.5
27,26,2485.73,2498.69,-0.968219,-0.250103,-2.88881,12,13.2758,57.766,-32.4775,7,819.728,-69.0181,-99.36,1,0.5
28,26,2483.79,2498.19,-0.968219,-0.250103,-2.88881,12,15.2301,54.8448,-34.4318,7,817.792,-61.4471,-95.6999,1,0.5
29,26,2481.85,2497.69,-0.968219,-0.250103,-2.88881,12,17.195,54.9221,-34.6716,7,815.856,-62.1845,-96.3838,1,0.5
30,26,2479.92,2497.19,-0.968219,-0.250103,-2.88881,12,19.1671,50.7556,-39.1098,7,813.921,-61.2776,-98.7146,1,0.5
31,26,2477.98,2496.69,-0.968219,-0.250103,-2.88881,12,21.1444,49.9303,-39.2314,7,811.985,-57.5192,-97.7686,1,0.5
32,26,2479.24,2498.25,0.628217,0.778038,0.891537,12,19.7758,52.1349,-37.9927,7,813.239,-57.2495,-95.3694,1,0.5
33,26,2480.49,2499.8,0.628217,0.778038,0.891537,12,18.5225,50.4932,-38.386,7,814.495,-58.483,-96.6579,1,0.5
34,26,2481.75,2501.36,0.628217,0.778038,0.891537,12,17.4091,51.889,-37.3953,7,815.755,-65.3085,-99.7834,1,0.5
35,26,2483.01,2502.91,0.628217,0.778038,0.891537,12,16.4644,53.242,-35.7521,7,817.017,-61.8639,-96.2553,1,0.5
36,26,2484.26,2504.47,0.628217,0.778038,0.891537,12,15.7185,54.74,-35.0293,7,818.283,-61.6041,-97.7299,1,0.5
37,26,2485.1,2502.65,0.41692,-0.908943,-1.14074,12,14.3738,54.0947,-35.4715,7,819.106,-64.5541,-97.1872,1,0.5
38,26,2485.93,2500.84,0.41692,-0.908943,-1.14074,12,13.1963,59.7507,-30.2319,7,819.934,-62.4256,-94.0618,1,0.5
39,26,2486.77,2499.02,0.41692,-0.908943,-1.14074,12,12.2342,57.858,-32.3509,7,820.766,-68.7095,-96.7152,1,0.5
40,26,2487.6,2497.2,0.41692,-0.908943,-1.14074,12,11.5417,59.4627,-31.044,7,821.602,-68.0401,-98.4456,1,0.5
41,26,2488.43,2495.38,0.41692,-0.908943,-1.14074,12,11.169,62.316,-28.0962,7,822.441,-68.1161,-97.2144,1,0.5
42,26,2487.85,2493.47,-0.292041,-0.956406,-1.86716,12,12.4472,60.5,-29.3032,7,821.868,-61.5986,-95.2252,1,0.5
43,26,2487.27,2491.56,-0.292041,-0.956406,-1.86716,12,13.8968,57.9446,-31.9466,7,821.299,-65.2589,-96.4425,1,0.5
44,26,2486.68,2489.64,-0.292041,-0.956406,-1.86716,12,15.4695,53.7099,-36.0017,7,820.735,-61.6605,-97.9483,1,0.5
45,26,2486.1,2487.73,-0.292041,-0.956406,-1.86716,12,17.1317,51.7811,-37.8246,7,820.175,-57.07,-96.2061,1,0.5
46,26,2485.51,2485.82,-0.292041,-0.956406,-1.86716,12,18.8595,51.7657,-37.9933,7,819.619,-57.3747,-95.2976,1,0.5
47,26,2485.13,2487.78,-0.191363,0.981519,1.76335,12,17.8395,51.5902,-37.5603,7,819.207,-62.8382,-97.764,1,0.5
48,26,2484.75,2489.74,-0.191363,0.981519,1.76335,12,16.9946,55.8378,-33.6959,7,818.8,-62.4438,-96.877,1,0.5
49,26,2484.36,2491.71,-0.191363,0.981519,1.76335,12,16.3518,53.1323,-36.9907,7,818.397,-60.7026,-98.2009,1,0.5
50,26,2483.98,2493.67,-0.191363,0.981519,1.76335,12,15.9358,52.5313,-37.6053,7,818,-61.1923,-98.1433,1,0.5
51,26,2483.6,2495.63,-0.191363,0.981519,1.76335,12,15.7644,56.5581,-32.9754,7,817.606,-62.5804,-96.991,1,0.5
52,26,2485.5,2496.25,0.950887,0.309538,0.314707,12,13.7758,58.017,-31.3313,7,819.506,-64.707,-96.5489,1,0.5
53,26,2487.4,2496.87,0.950887,0.309538,0.314707,12,11.7909,60.1229,-30.0267,7,821.406,-68.4262,-99.9491,1,0.5
54,26,2489.3,2497.49,0.950887,0.309538,0.314707,12,9.81218,60.8317,-29.2742,7,823.306,-66.884,-94.5932,1,0.5
55,26,2491.21,2498.11,0.950887,0.309538,0.314707,12,7.84427,66.2299,-23.5652,7,825.207,-76.8774,-99.4082,1,0.5
56,26,2493.11,2498.73,0.950887,0.309538,0.314707,12,5.89799,69.6496,-20.3899,7,827.108,-79.1283,-98.1539,1,0.5
57,26,2494.08,2500.48,0.485945,0.873989,1.06335,12,5.13643,74.5988,-15.9005,7,828.081,-82.8128,-98.2192,1,0.5
58,26,2495.05,2502.22,0.485945,0.873989,1.06335,12,5.09701,74.0756,-16.0185,7,829.058,-81.8619,-97.7507,1,0.5
59,26,2496.02,2503.97,0.485945,0.873989,1.06335,12,5.79449,71.8164,-18.0858,13,828.033,-79.4382,-99.3453,1,0.5
60,26,2497,2505.72,0.485945,0.873989,1.06335,12,7.01233,68.3524,-20.989,13,826.283,-76.8052,-98.503,1,0.5
61,26,2497.97,2507.47,0.485945,0.873989,1.06335,12,8.53049,66.3133,-23.3559,13,824.533,-76.7545,-100.066,1,0.5
62,26,2497.46,2505.53,-0.255145,-0.966903,-1.82879,12,6.71362,70.4356,-19.8452,13,826.467,-76.3842,-99.5466,1,0.5
63,26,2496.95,2503.6,-0.255145,-0.966903,-1.82879,12,5.03746,73.1624,-15.9812,13,828.402,-81.545,-97.3615,1,0.5
64,26,2496.44,2501.67,-0.255145,-0.966903,-1.82879,12,3.69855,77.9225,-11.5327,13,830.338,-89.3296,-101.288,1,0.5
65,26,2495.93,2499.73,-0.255145,-0.966903,-1.82879,12,3.15953,80.6901,-9.47012,7,829.927,-90.6475,-100.466,1,0.5
66,26,2495.42,2497.8,-0.255145,-0.966903,-1.82879,12,3.77968,76.1584,-13.7729,7,829.417,-83.8642,-96.7147,1,0.5
67,26,2497.11,2496.74,0.848798,-0.528718,-0.557089,12,2.94261,79.9626,-10.0404,11,830.743,-90.2075,-98.7621,1,0.5
68,26,2498.81,2495.68,0.848798,-0.528718,-0.557089,12,3.32145,79.9079,-9.88383,11,829.684,-90.4139,-100.247,1,0.5
69,26,2500.51,2494.63,0.848798,-0.528718,-0.557089,12,4.62656,73.0894,-16.4292,11,828.628,-84.5411,-100.038,1,0.5
70,26,2502.21,2493.57,0.848798,-0.528718,-0.557089,12,6.30698,70.6366,-19.6857,11,827.575,-79.9823,-99.0994,1,0.5
71,26,2503.9,2492.51,0.848798,-0.528718,-0.557089,12,8.13333,63.5598,-25.5389,11,826.526,-73.0839,-97.3525,1,0.5
72,26,2503.38,2494.44,-0.26271,0.964875,1.83663,12,6.32104,70.1336,-19.2297,11,828.453,-77.9615,-97.9296,1,0.5
