record_type,panel,kpi,unit,condition,seed,value,mean,sample_std,n_seed,relative_change_pct,tail_start_epoch,tail_end_epoch,source_path,source_sha256,notes
seed,a,throughput_mbps,Mbps,enabled,42,1394.1822261495786,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_original_seed42/epoch_metrics.csv,bf5bc3039434ae3255e93fa9fce78f9aa6ff6f0d6df6446c3364347850a6b6b2,canonical enabled evidence; historical enabled backend unresolved; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,a,throughput_mbps,Mbps,enabled,43,1294.555668106972,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed43/epoch_metrics.csv,490946818fefe80f8f0b1d81cb4e543c49328c2929c79b35766840a360b4b9d2,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,a,throughput_mbps,Mbps,enabled,44,1213.8322556157962,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed44/epoch_metrics.csv,549444ad0edd1eb9e4e1f4aa0c49fd44717f4e02a0f0906c8b9ca2db46d13510,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,a,throughput_mbps,Mbps,disabled,42,1208.698343341221,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_42/epoch_metrics.csv,40a812f09957ac01d4abf1e49e83126b39f68685d2b5ecddd505a67d71b0df46,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,a,throughput_mbps,Mbps,disabled,43,1067.1954219146537,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_43/epoch_metrics.csv,ad4cbfa83388a871cee7057c82262fe36cd9ee5b25d70ba6f7b0afb40082c5f9,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,a,throughput_mbps,Mbps,disabled,44,1135.1364241326949,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_44/epoch_metrics.csv,df80dad5194282e81e913bcd7d16cb685b2707d489594669d2bd1f2201599d1a,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,b,qos_satisfaction,ratio,enabled,42,0.56131,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_original_seed42/epoch_metrics.csv,bf5bc3039434ae3255e93fa9fce78f9aa6ff6f0d6df6446c3364347850a6b6b2,canonical enabled evidence; historical enabled backend unresolved; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,b,qos_satisfaction,ratio,enabled,43,0.5596233333333334,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed43/epoch_metrics.csv,490946818fefe80f8f0b1d81cb4e543c49328c2929c79b35766840a360b4b9d2,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,b,qos_satisfaction,ratio,enabled,44,0.57578,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed44/epoch_metrics.csv,549444ad0edd1eb9e4e1f4aa0c49fd44717f4e02a0f0906c8b9ca2db46d13510,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,b,qos_satisfaction,ratio,disabled,42,0.061485218395299295,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_42/epoch_metrics.csv,40a812f09957ac01d4abf1e49e83126b39f68685d2b5ecddd505a67d71b0df46,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,b,qos_satisfaction,ratio,disabled,43,0.062053137752445565,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_43/epoch_metrics.csv,ad4cbfa83388a871cee7057c82262fe36cd9ee5b25d70ba6f7b0afb40082c5f9,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,b,qos_satisfaction,ratio,disabled,44,0.056025502547166185,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_44/epoch_metrics.csv,df80dad5194282e81e913bcd7d16cb685b2707d489594669d2bd1f2201599d1a,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,c,jain_fairness,ratio,enabled,42,0.7943985441182246,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_original_seed42/epoch_metrics.csv,bf5bc3039434ae3255e93fa9fce78f9aa6ff6f0d6df6446c3364347850a6b6b2,canonical enabled evidence; historical enabled backend unresolved; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,c,jain_fairness,ratio,enabled,43,0.7796070461136416,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed43/epoch_metrics.csv,490946818fefe80f8f0b1d81cb4e543c49328c2929c79b35766840a360b4b9d2,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,c,jain_fairness,ratio,enabled,44,0.7952278588790496,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed44/epoch_metrics.csv,549444ad0edd1eb9e4e1f4aa0c49fd44717f4e02a0f0906c8b9ca2db46d13510,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,c,jain_fairness,ratio,disabled,42,0.6367379594982642,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_42/epoch_metrics.csv,40a812f09957ac01d4abf1e49e83126b39f68685d2b5ecddd505a67d71b0df46,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,c,jain_fairness,ratio,disabled,43,0.6226320592787911,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_43/epoch_metrics.csv,ad4cbfa83388a871cee7057c82262fe36cd9ee5b25d70ba6f7b0afb40082c5f9,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,c,jain_fairness,ratio,disabled,44,0.6480833622441906,,,,,9000,9999,logs/revision_round2/r4_4_satellite_ablation/nominal/satellite_disabled/seed_44/epoch_metrics.csv,df80dad5194282e81e913bcd7d16cb685b2707d489594669d2bd1f2201599d1a,accepted formal disabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,d,switch_ratio,ratio,enabled,42,0.42815,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_original_seed42/epoch_metrics.csv,bf5bc3039434ae3255e93fa9fce78f9aa6ff6f0d6df6446c3364347850a6b6b2,canonical enabled evidence; historical enabled backend unresolved; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,d,switch_ratio,ratio,enabled,43,0.41889,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed43/epoch_metrics.csv,490946818fefe80f8f0b1d81cb4e543c49328c2929c79b35766840a360b4b9d2,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
seed,d,switch_ratio,ratio,enabled,44,0.42912,,,,,9000,9999,logs/revision_round1/group1_baselines/runs/hmadqn_k3_reproduced_seed44/epoch_metrics.csv,549444ad0edd1eb9e4e1f4aa0c49fd44717f4e02a0f0906c8b9ca2db46d13510,canonical enabled evidence; matched-seed retraining comparison; not identical trajectory; no strict common random numbers
