Epoch,Cloud,Macro,Small,UAV
1,0.419865453,0.439786026,0.193360242,0.629728849
2,0.419700735,0.439761988,0.19348971,0.629953507
3,0.419846366,0.439750675,0.193499601,0.630075422
4,0.420032535,0.439840832,0.193486757,0.630337362
5,0.420340645,0.43981074,0.193560518,0.630312263
6,0.420448899,0.439877682,0.193588127,0.63036384
7,0.420559331,0.439931853,0.19356675,0.630638418
8,0.420898278,0.439885329,0.193634496,0.630775364
9,0.421020232,0.439872712,0.193580703,0.630748045
10,0.421154563,0.439995276,0.193622953,0.630988586
11,0.42139852,0.440108423,0.193602539,0.631001421
12,0.421707816,0.440205978,0.193692151,0.631131814
13,0.421849428,0.440212282,0.193674311,0.631167414
14,0.42215101,0.440350245,0.193856715,0.631170345
15,0.422489873,0.440342574,0.193887679,0.631228316
16,0.422681864,0.440406648,0.193947723,0.631206457
17,0.422991204,0.44043503,0.193988144,0.631210354
18,0.423261843,0.440528189,0.194006644,0.631201833
19,0.42340169,0.440624238,0.194066171,0.631321496
20,0.423579748,0.440602832,0.194100265,0.631294543
21,0.423824382,0.440676087,0.194165493,0.631313456
22,0.424083178,0.44060641,0.194238119,0.631237845
23,0.424318924,0.44054843,0.194399556,0.631404402
24,0.424726846,0.440517551,0.194465079,0.631622878
25,0.425002786,0.440501332,0.194453829,0.631653401
26,0.425380319,0.440385627,0.194511329,0.631760392
27,0.425669245,0.440400896,0.194610214,0.631768115
28,0.425910499,0.440399441,0.194639763,0.63176378
29,0.426127305,0.440429342,0.194683075,0.631702913
30,0.426462189,0.440338937,0.194788283,0.631907914
31,0.426766293,0.440414051,0.194786494,0.631969664
32,0.427083192,0.440377138,0.194904818,0.632051385
33,0.427430928,0.440381574,0.194947461,0.632088526
34,0.427677714,0.440361071,0.195063779,0.632110888
35,0.428030705,0.440302886,0.195239222,0.632262969
36,0.42819097,0.440273443,0.195268871,0.632341014
37,0.428460197,0.440210944,0.195339961,0.632410406
38,0.428785266,0.440154703,0.195354147,0.632772098
39,0.429246937,0.440120343,0.195358072,0.632930612
40,0.429471016,0.4401021,0.195365126,0.633287322
41,0.429601734,0.440081781,0.195383601,0.63327878
42,0.429851172,0.440031655,0.195407823,0.633296783
43,0.430054781,0.440059889,0.195507502,0.633398461
44,0.430287554,0.440054508,0.195437185,0.633516537
45,0.430637651,0.440055904,0.195460931,0.633545955
46,0.430785947,0.440080793,0.19541079,0.633603718
47,0.431131742,0.440116399,0.195512915,0.633740279
48,0.431545285,0.43990004,0.195595191,0.634074118
49,0.431744384,0.439876974,0.195523271,0.634034823
50,0.431882589,0.439962496,0.19556705,0.633992623
51,0.432124561,0.439958372,0.195580519,0.634076615
52,0.432372432,0.439981481,0.195590574,0.634157661
53,0.432649482,0.439922338,0.195789242,0.634216955
54,0.432920077,0.439783913,0.195710275,0.634246362
55,0.433230195,0.439803822,0.195729084,0.634270042
56,0.433301856,0.439829108,0.19559904,0.634560416
57,0.43355516,0.439794989,0.195740215,0.634459732
58,0.433800208,0.439730993,0.195820161,0.634565837
59,0.434145933,0.439740698,0.195794109,0.634888792
60,0.434423795,0.439752304,0.19576258,0.634995262
61,0.434762401,0.439826061,0.195794114,0.63523
62,0.435017596,0.439867803,0.195854567,0.635321595
63,0.435372029,0.439903255,0.195986371,0.63535619
64,0.435590812,0.439971414,0.196006764,0.635394365
