K,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
1,42,last_10pct,reward_sum,2.51841473057234,unitless,supp_reward,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_10pct,throughput_mbps,1284.6292197557873,Mbps,A_throughput,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_10pct,qos_satisfaction,0.55818,ratio,B_ratios,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_10pct,jain_fairness,0.7913509962312971,ratio,B_ratios,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_10pct,switch_ratio,0.39815,ratio,B_ratios,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_1000,reward_sum,2.51841473057234,unitless,supp_reward,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_1000,throughput_mbps,1284.6292197557873,Mbps,A_throughput,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_1000,qos_satisfaction,0.55818,ratio,B_ratios,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_1000,jain_fairness,0.7913509962312971,ratio,B_ratios,hmadqn_k_sweep_k1_seed42,K sweep run
1,42,last_1000,switch_ratio,0.39815,ratio,B_ratios,hmadqn_k_sweep_k1_seed42,K sweep run
2,42,last_10pct,reward_sum,2.5617556823321737,unitless,supp_reward,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_10pct,throughput_mbps,1368.384594122333,Mbps,A_throughput,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_10pct,qos_satisfaction,0.550895,ratio,B_ratios,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_10pct,jain_fairness,0.7865049313081299,ratio,B_ratios,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_10pct,switch_ratio,0.50474,ratio,B_ratios,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_1000,reward_sum,2.5617556823321737,unitless,supp_reward,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_1000,throughput_mbps,1368.384594122333,Mbps,A_throughput,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_1000,qos_satisfaction,0.550895,ratio,B_ratios,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_1000,jain_fairness,0.7865049313081299,ratio,B_ratios,hmadqn_k_sweep_k2_seed42,K sweep run
2,42,last_1000,switch_ratio,0.50474,ratio,B_ratios,hmadqn_k_sweep_k2_seed42,K sweep run
3,42,last_10pct,reward_sum,2.5471956169693737,unitless,supp_reward,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_10pct,throughput_mbps,1394.1822261495786,Mbps,A_throughput,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_10pct,qos_satisfaction,0.5613100000000001,ratio,B_ratios,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_10pct,jain_fairness,0.7943985441182246,ratio,B_ratios,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_10pct,switch_ratio,0.42815000000000003,ratio,B_ratios,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_1000,reward_sum,2.5471956169693737,unitless,supp_reward,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_1000,throughput_mbps,1394.1822261495786,Mbps,A_throughput,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_1000,qos_satisfaction,0.5613100000000001,ratio,B_ratios,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_1000,jain_fairness,0.7943985441182246,ratio,B_ratios,hmadqn_k3_original_seed42,K=3 uses original logs
3,42,last_1000,switch_ratio,0.42815000000000003,ratio,B_ratios,hmadqn_k3_original_seed42,K=3 uses original logs
5,42,last_10pct,reward_sum,2.536584227614992,unitless,supp_reward,hmadqn_k_sweep_k5_seed42,K sweep run
