sigma_db,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
0.0,42,last_10pct,reward_sum,2.5471956169693737,unitless,supp_reward,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_10pct,throughput_mbps,1394.1822261495786,Mbps,A_throughput,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_10pct,qos_satisfaction,0.5613100000000001,ratio,B_qos_fairness,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_10pct,jain_fairness,0.7943985441182246,ratio,B_qos_fairness,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_10pct,switch_ratio,0.42815000000000003,ratio,C_switch_ratio,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_1000,reward_sum,2.5471956169693737,unitless,supp_reward,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_1000,throughput_mbps,1394.1822261495786,Mbps,A_throughput,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_1000,qos_satisfaction,0.5613100000000001,ratio,B_qos_fairness,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_1000,jain_fairness,0.7943985441182246,ratio,B_qos_fairness,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
0.0,42,last_1000,switch_ratio,0.42815000000000003,ratio,C_switch_ratio,hmadqn_shadowing_sigma0_seed42,sigma=0 uses original logs
4.0,42,last_10pct,reward_sum,2.501393271658007,unitless,supp_reward,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_10pct,throughput_mbps,1211.3409017657345,Mbps,A_throughput,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_10pct,qos_satisfaction,0.5783966666666668,ratio,B_qos_fairness,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_10pct,jain_fairness,0.7950576370064002,ratio,B_qos_fairness,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_10pct,switch_ratio,0.50448,ratio,C_switch_ratio,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_1000,reward_sum,2.501393271658007,unitless,supp_reward,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_1000,throughput_mbps,1211.3409017657345,Mbps,A_throughput,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_1000,qos_satisfaction,0.5783966666666668,ratio,B_qos_fairness,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_1000,jain_fairness,0.7950576370064002,ratio,B_qos_fairness,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
4.0,42,last_1000,switch_ratio,0.50448,ratio,C_switch_ratio,hmadqn_shadowing_sigma4_seed42,large-scale shadowing stress test
8.0,42,last_10pct,reward_sum,2.4717849592310754,unitless,supp_reward,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_10pct,throughput_mbps,1237.9928744868482,Mbps,A_throughput,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_10pct,qos_satisfaction,0.5744466666666667,ratio,B_qos_fairness,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_10pct,jain_fairness,0.7995483364318675,ratio,B_qos_fairness,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_10pct,switch_ratio,0.52776,ratio,C_switch_ratio,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_1000,reward_sum,2.4717849592310754,unitless,supp_reward,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_1000,throughput_mbps,1237.9928744868482,Mbps,A_throughput,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_1000,qos_satisfaction,0.5744466666666667,ratio,B_qos_fairness,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_1000,jain_fairness,0.7995483364318675,ratio,B_qos_fairness,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
8.0,42,last_1000,switch_ratio,0.52776,ratio,C_switch_ratio,hmadqn_shadowing_sigma8_seed42,large-scale shadowing stress test
