scenario_type,N_UE,distribution,method,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_10pct,reward_sum,3.1354369420504717,unitless,supp_reward,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_10pct,throughput_mbps,1461.421402247903,Mbps,A_throughput,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_10pct,qos_satisfaction,0.2554166666666666,ratio,B_qos_fairness,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_10pct,jain_fairness,0.919643859414268,ratio,B_qos_fairness,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_10pct,switch_ratio,0.0,ratio,C_switch_ratio,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_1000,reward_sum,3.1354369420504717,unitless,supp_reward,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_1000,throughput_mbps,1461.421402247903,Mbps,A_throughput,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_1000,qos_satisfaction,0.2554166666666666,ratio,B_qos_fairness,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_1000,jain_fairness,0.919643859414268,ratio,B_qos_fairness,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,greedy_rsrp_capacity,42,last_1000,switch_ratio,0.0,ratio,C_switch_ratio,greedy_rsrp_capacity_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_10pct,reward_sum,2.5485168269914187,unitless,supp_reward,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_10pct,throughput_mbps,1446.7842328456793,Mbps,A_throughput,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_10pct,qos_satisfaction,0.5531200000000001,ratio,B_qos_fairness,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_10pct,jain_fairness,0.7876514074381171,ratio,B_qos_fairness,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_10pct,switch_ratio,0.44818,ratio,C_switch_ratio,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_1000,reward_sum,2.5485168269914187,unitless,supp_reward,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_1000,throughput_mbps,1446.7842328456793,Mbps,A_throughput,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_1000,qos_satisfaction,0.5531200000000001,ratio,B_qos_fairness,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
density_stress,100,hotspot,hmadqn_k3,42,last_1000,jain_fairness,0.7876514074381171,ratio,B_qos_fairness,hmadqn_k3_density_hotspot_N100_seed42,reward retained for internal/supplemental checks
